Score,UpCourt,DownCourt,Start,End,Comment
1_01_00,An Se Young,PUSARLA V. Sindhu,10585,10817,0
1_02_00,An Se Young,PUSARLA V. Sindhu,11179,11426,0
1_03_00,An Se Young,PUSARLA V. Sindhu,11796,13042,0
1_03_01,An Se Young,PUSARLA V. Sindhu,13676,13929,0
1_04_01,An Se Young,PUSARLA V. Sindhu,14512,14794,0
1_05_01,An Se Young,PUSARLA V. Sindhu,15142,15715,0
1_06_01,An Se Young,PUSARLA V. Sindhu,16173,16488,0
1_07_01,An Se Young,PUSARLA V. Sindhu,17128,18288,0
1_07_02,An Se Young,PUSARLA V. Sindhu,19208,19457,0
1_07_03,An Se Young,PUSARLA V. Sindhu,19855,20419,0
1_07_04,An Se Young,PUSARLA V. Sindhu,21283,21668,0
1_08_04,An Se Young,PUSARLA V. Sindhu,22345,22930,0
1_09_04,An Se Young,PUSARLA V. Sindhu,23607,23761,0
1_09_05,An Se Young,PUSARLA V. Sindhu,24095,24315,0
1_09_06,An Se Young,PUSARLA V. Sindhu,25558,25895,0
1_10_06,An Se Young,PUSARLA V. Sindhu,26340,26539,0
1_11_06,An Se Young,PUSARLA V. Sindhu,26997,28128,0
1_11_07,An Se Young,PUSARLA V. Sindhu,30729,31286,0
1_12_07,An Se Young,PUSARLA V. Sindhu,32814,33914,0
1_13_07,An Se Young,PUSARLA V. Sindhu,34558,35043,0
1_14_07,An Se Young,PUSARLA V. Sindhu,35971,36501,0
1_14_08,An Se Young,PUSARLA V. Sindhu,37075,37381,0
1_14_09,An Se Young,PUSARLA V. Sindhu,37988,38815,0
1_15_09,An Se Young,PUSARLA V. Sindhu,40172,40460,0
1_15_10,An Se Young,PUSARLA V. Sindhu,40969,41438,0
1_16_10,An Se Young,PUSARLA V. Sindhu,42164,42692,0
1_16_11,An Se Young,PUSARLA V. Sindhu,43305,43475,0
1_16_12,An Se Young,PUSARLA V. Sindhu,43967,44241,0
1_17_12,An Se Young,PUSARLA V. Sindhu,44835,45009,0
1_18_12,An Se Young,PUSARLA V. Sindhu,45628,45788,0
1_19_12,An Se Young,PUSARLA V. Sindhu,46042,46394,0
1_20_12,An Se Young,PUSARLA V. Sindhu,46739,46895,0
1_20_13,An Se Young,PUSARLA V. Sindhu,47231,47444,0
1_20_14,An Se Young,PUSARLA V. Sindhu,47869,48165,0
1_21_14,An Se Young,PUSARLA V. Sindhu,48586,48868,0
2_00_01,PUSARLA V. Sindhu,An Se Young,53087,53478,0
2_00_02,PUSARLA V. Sindhu,An Se Young,53895,54149,0
2_00_03,PUSARLA V. Sindhu,An Se Young,54807,55202,0
2_01_03,PUSARLA V. Sindhu,An Se Young,55785,56413,0
2_02_03,PUSARLA V. Sindhu,An Se Young,56970,57127,0
2_03_03,PUSARLA V. Sindhu,An Se Young,57519,57941,0
2_04_03,PUSARLA V. Sindhu,An Se Young,58376,58784,0
2_05_03,PUSARLA V. Sindhu,An Se Young,59304,60351,0
2_05_04,PUSARLA V. Sindhu,An Se Young,61355,61687,0
2_05_05,PUSARLA V. Sindhu,An Se Young,62427,62737,0
2_05_06,PUSARLA V. Sindhu,An Se Young,63880,64164,0
2_06_06,PUSARLA V. Sindhu,An Se Young,64810,64987,0
2_06_07,PUSARLA V. Sindhu,An Se Young,65460,65728,0
2_07_07,PUSARLA V. Sindhu,An Se Young,66152,66751,0
2_08_07,PUSARLA V. Sindhu,An Se Young,67474,67691,0
2_08_08,PUSARLA V. Sindhu,An Se Young,68149,68546,0
2_09_08,PUSARLA V. Sindhu,An Se Young,70268,70482,0
2_09_09,PUSARLA V. Sindhu,An Se Young,70788,70920,0
2_10_09,PUSARLA V. Sindhu,An Se Young,71453,72289,0
2_11_09,PUSARLA V. Sindhu,An Se Young,74004,74888,0
2_12_09,PUSARLA V. Sindhu,An Se Young,77295,77411,0
2_13_09,PUSARLA V. Sindhu,An Se Young,77695,78147,0
2_13_10,PUSARLA V. Sindhu,An Se Young,78936,79867,0
2_14_10,PUSARLA V. Sindhu,An Se Young,80858,81384,0
2_14_11,PUSARLA V. Sindhu,An Se Young,81970,82231,0
2_14_12,PUSARLA V. Sindhu,An Se Young,82838,83108,0
2_14_13,PUSARLA V. Sindhu,An Se Young,83717,84291,0
2_15_13,PUSARLA V. Sindhu,An Se Young,85153,85582,0
2_16_13,PUSARLA V. Sindhu,An Se Young,86263,86905,0
2_16_14,PUSARLA V. Sindhu,An Se Young,87902,87992,0
2_17_14,PUSARLA V. Sindhu,An Se Young,88428,88759,0
2_18_14,PUSARLA V. Sindhu,An Se Young,89523,89974,0
2_18_15,PUSARLA V. Sindhu,An Se Young,90512,91150,0
2_18_16,PUSARLA V. Sindhu,An Se Young,92437,92652,0
2_18_17,PUSARLA V. Sindhu,An Se Young,93299,93626,0
2_19_17,PUSARLA V. Sindhu,An Se Young,94342,94508,0
2_20_17,PUSARLA V. Sindhu,An Se Young,95078,95578,0
2_21_17,PUSARLA V. Sindhu,An Se Young,96302,96729,0
