rally,ball_round,time,frame_num,end_frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:29:30,53114,53135,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7.0,552.0,376.0,,,,,8.0,657.0,498.0,8.0,569.0,317.0,0
1,2,00:29:31,53135,53171,0,1,B,2,挑球,,1.0,2.0,7.0,552.0,376.0,1.0,4.0,383.0,610.0,,,,,8.0,533.0,351.0,8.0,643.0,506.0,0
1,3,00:29:32,53171,53192,0,1,A,2,切球,1.0,,1.0,4.0,383.0,610.0,2.0,5.0,477.0,333.0,,,,,8.0,524.0,571.0,8.0,595.0,326.0,0
1,4,00:29:33,53192,53222,0,1,B,2,放小球,,,2.0,5.0,477.0,333.0,2.0,2.0,445.0,445.0,,,,,5.0,525.0,317.0,8.0,521.0,592.0,0
1,5,00:29:34,53222,53250,0,1,A,2,放小球,,1.0,2.0,2.0,445.0,445.0,2.0,1.0,460.0,397.0,,,,,6.0,490.0,474.0,8.0,588.0,325.0,0
1,6,00:29:35,53250,53276,0,1,B,2,放小球,,,2.0,1.0,460.0,397.0,2.0,2.0,460.0,427.0,,,,,1.0,484.0,368.0,8.0,556.0,494.0,0
1,7,00:29:35,53276,53302,0,1,A,2,放小球,,1.0,2.0,2.0,460.0,427.0,2.0,1.0,452.0,391.0,,,,,2.0,502.0,455.0,7.0,558.0,353.0,0
1,8,00:29:36,53302,53332,0,1,B,2,推球,,,2.0,1.0,452.0,391.0,1.0,8.0,764.0,576.0,,,,,1.0,487.0,376.0,7.0,548.0,471.0,0
1,9,00:29:37,53332,53350,0,1,A,2,後場抽平球,,,1.0,8.0,764.0,576.0,1.0,6.0,747.0,328.0,,,,,8.0,701.0,575.0,8.0,591.0,340.0,0
1,10,00:29:38,53350,53364,0,1,B,2,擋小球,1.0,,1.0,6.0,747.0,328.0,2.0,5.0,798.0,488.0,,,,,8.0,635.0,324.0,8.0,705.0,552.0,0
1,11,00:29:38,53364,53386,0,1,A,2,小平球,,,2.0,5.0,798.0,488.0,1.0,8.0,656.0,350.0,,,,,8.0,729.0,518.0,8.0,662.0,319.0,0
1,12,00:29:39,53386,53410,0,1,B,2,放小球,,1.0,1.0,8.0,656.0,350.0,2.0,2.0,482.0,430.0,,,,,8.0,604.0,345.0,8.0,698.0,524.0,0
1,13,00:29:40,53410,53451,0,1,A,3,挑球,,1.0,2.0,2.0,482.0,430.0,2.0,14.0,463.0,277.0,出界,對手出界,B,,8.0,509.0,475.0,8.0,600.0,331.0,0
2,1,00:29:56,53896,53944,0,2,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
2,2,00:29:58,53944,53973,0,2,A,2,挑球,,1.0,2.0,,,,1.0,3.0,520.0,289.0,,,,,8.0,591.0,474.0,8.0,634.0,336.0,0
2,3,00:29:59,53973,53999,0,2,B,2,切球,,,1.0,3.0,520.0,289.0,2.0,2.0,482.0,455.0,,,,,8.0,567.0,295.0,8.0,609.0,507.0,0
2,4,00:29:59,53999,54025,0,2,A,2,放小球,,1.0,2.0,2.0,482.0,455.0,2.0,7.0,616.0,379.0,,,,,8.0,539.0,483.0,8.0,589.0,310.0,0
