Score,UpCourt,DownCourt,Start,End,Comment
1_01_00,Anders ANTONSEN,Anthony Sinisuka GINTING,23638,23924,0
1_02_00,Anders ANTONSEN,Anthony Sinisuka GINTING,24368,24677,0
1_03_00,Anders ANTONSEN,Anthony Sinisuka GINTING,25114,25241,0
1_04_00,Anders ANTONSEN,Anthony Sinisuka GINTING,25827,25890,0
1_04_01,Anders ANTONSEN,Anthony Sinisuka GINTING,26198,26388,1
1_04_02,Anders ANTONSEN,Anthony Sinisuka GINTING,27563,27634,0
1_05_02,Anders ANTONSEN,Anthony Sinisuka GINTING,28043,28475,0
1_05_03,Anders ANTONSEN,Anthony Sinisuka GINTING,29125,29234,0
1_06_03,Anders ANTONSEN,Anthony Sinisuka GINTING,29756,30155,0
1_06_04,Anders ANTONSEN,Anthony Sinisuka GINTING,30945,31049,0
1_07_04,Anders ANTONSEN,Anthony Sinisuka GINTING,31541,31683,0
1_07_05,Anders ANTONSEN,Anthony Sinisuka GINTING,32861,33215,0
1_07_06,Anders ANTONSEN,Anthony Sinisuka GINTING,33995,34175,0
1_07_07,Anders ANTONSEN,Anthony Sinisuka GINTING,35112,35511,0
1_07_08,Anders ANTONSEN,Anthony Sinisuka GINTING,36060,36165,0
1_07_09,Anders ANTONSEN,Anthony Sinisuka GINTING,37476,37732,0
1_08_09,Anders ANTONSEN,Anthony Sinisuka GINTING,38222,38418,0
1_08_10,Anders ANTONSEN,Anthony Sinisuka GINTING,38836,39019,1
1_09_10,Anders ANTONSEN,Anthony Sinisuka GINTING,39557,39649,0
1_09_11,Anders ANTONSEN,Anthony Sinisuka GINTING,40089,40400,0
1_09_12,Anders ANTONSEN,Anthony Sinisuka GINTING,42311,42375,0
1_10_12,Anders ANTONSEN,Anthony Sinisuka GINTING,42780,43326,0
1_10_13,Anders ANTONSEN,Anthony Sinisuka GINTING,44340,44543,0
1_11_13,Anders ANTONSEN,Anthony Sinisuka GINTING,45927,46179,0
1_12_13,Anders ANTONSEN,Anthony Sinisuka GINTING,46583,47149,0
1_12_14,Anders ANTONSEN,Anthony Sinisuka GINTING,47864,48006,1
1_12_15,Anders ANTONSEN,Anthony Sinisuka GINTING,48498,48913,0
1_13_15,Anders ANTONSEN,Anthony Sinisuka GINTING,49603,49697,0
1_14_15,Anders ANTONSEN,Anthony Sinisuka GINTING,51097,51570,0
1_15_15,Anders ANTONSEN,Anthony Sinisuka GINTING,52849,52923,0
1_15_16,Anders ANTONSEN,Anthony Sinisuka GINTING,53621,53984,1
1_16_16,Anders ANTONSEN,Anthony Sinisuka GINTING,55333,55398,0
1_16_17,Anders ANTONSEN,Anthony Sinisuka GINTING,56068,56207,0
1_17_17,Anders ANTONSEN,Anthony Sinisuka GINTING,56724,56798,0
1_17_18,Anders ANTONSEN,Anthony Sinisuka GINTING,58163,58263,1
1_17_19,Anders ANTONSEN,Anthony Sinisuka GINTING,59274,59937,0
1_17_20,Anders ANTONSEN,Anthony Sinisuka GINTING,61520,61651,0
1_17_21,Anders ANTONSEN,Anthony Sinisuka GINTING,62229,62589,0
2_01_00,Anthony Sinisuka GINTING,Anders ANTONSEN,66374,66489,0
2_02_00,Anthony Sinisuka GINTING,Anders ANTONSEN,67214,67347,0
2_03_00,Anthony Sinisuka GINTING,Anders ANTONSEN,67730,67863,1
2_04_00,Anthony Sinisuka GINTING,Anders ANTONSEN,68270,68443,0
2_04_01,Anthony Sinisuka GINTING,Anders ANTONSEN,68969,69366,1
2_04_02,Anthony Sinisuka GINTING,Anders ANTONSEN,70677,70809,0
2_05_02,Anthony Sinisuka GINTING,Anders ANTONSEN,71201,71330,0
2_05_03,Anthony Sinisuka GINTING,Anders ANTONSEN,72362,72611,0
2_06_03,Anthony Sinisuka GINTING,Anders ANTONSEN,73289,73451,0
2_07_03,Anthony Sinisuka GINTING,Anders ANTONSEN,73899,74038,1
2_08_03,Anthony Sinisuka GINTING,Anders ANTONSEN,74566,75289,0
2_08_04,Anthony Sinisuka GINTING,Anders ANTONSEN,75898,76064,0
2_08_05,Anthony Sinisuka GINTING,Anders ANTONSEN,77031,77171,0
2_09_05,Anthony Sinisuka GINTING,Anders ANTONSEN,77929,78251,0
2_10_05,Anthony Sinisuka GINTING,Anders ANTONSEN,79697,79985,0
2_10_06,Anthony Sinisuka GINTING,Anders ANTONSEN,80999,81245,0
2_11_06,Anthony Sinisuka GINTING,Anders ANTONSEN,81915,82038,0
2_11_07,Anthony Sinisuka GINTING,Anders ANTONSEN,83900,84074,0
2_11_08,Anthony Sinisuka GINTING,Anders ANTONSEN,84546,84645,0
2_12_08,Anthony Sinisuka GINTING,Anders ANTONSEN,85107,85679,0
2_13_08,Anthony Sinisuka GINTING,Anders ANTONSEN,86529,86620,0
2_13_09,Anthony Sinisuka GINTING,Anders ANTONSEN,87734,88072,0
2_13_10,Anthony Sinisuka GINTING,Anders ANTONSEN,88800,88975,0
2_14_10,Anthony Sinisuka GINTING,Anders ANTONSEN,89456,89724,0
2_14_11,Anthony Sinisuka GINTING,Anders ANTONSEN,90886,91024,0
2_15_11,Anthony Sinisuka GINTING,Anders ANTONSEN,91479,91633,0
2_16_11,Anthony Sinisuka GINTING,Anders ANTONSEN,92288,92588,0
2_16_12,Anthony Sinisuka GINTING,Anders ANTONSEN,93275,93657,1
2_16_13,Anthony Sinisuka GINTING,Anders ANTONSEN,94333,94497,0
2_16_14,Anthony Sinisuka GINTING,Anders ANTONSEN,95222,95372,0
2_17_14,Anthony Sinisuka GINTING,Anders ANTONSEN,95858,96220,0
2_17_15,Anthony Sinisuka GINTING,Anders ANTONSEN,97904,98039,0
2_18_15,Anthony Sinisuka GINTING,Anders ANTONSEN,98580,98719,0
2_19_15,Anthony Sinisuka GINTING,Anders ANTONSEN,99286,99476,0
2_20_15,Anthony Sinisuka GINTING,Anders ANTONSEN,100762,100964,0
2_21_15,Anthony Sinisuka GINTING,Anders ANTONSEN,101940,102323,0
3_01_00,Anders ANTONSEN,Anthony Sinisuka GINTING,106285,106728,0
3_01_01,Anders ANTONSEN,Anthony Sinisuka GINTING,107244,107337,0
3_02_01,Anders ANTONSEN,Anthony Sinisuka GINTING,107873,108265,0
3_03_01,Anders ANTONSEN,Anthony Sinisuka GINTING,109582,109793,1
3_03_02,Anders ANTONSEN,Anthony Sinisuka GINTING,110274,110390,0
3_04_02,Anders ANTONSEN,Anthony Sinisuka GINTING,110775,111049,0
3_05_02,Anders ANTONSEN,Anthony Sinisuka GINTING,112218,112339,0
3_06_02,Anders ANTONSEN,Anthony Sinisuka GINTING,112745,113039,0
3_07_02,Anders ANTONSEN,Anthony Sinisuka GINTING,113466,113712,1
3_07_03,Anders ANTONSEN,Anthony Sinisuka GINTING,114121,114244,0
3_08_03,Anders ANTONSEN,Anthony Sinisuka GINTING,114929,115048,0
3_08_04,Anders ANTONSEN,Anthony Sinisuka GINTING,116065,116144,0
3_09_04,Anders ANTONSEN,Anthony Sinisuka GINTING,116503,116680,0
