rally,ball_round,time,frame_num,end_frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:44:15,66397,66422.0,1,0,B,1,發長球,,1.0,2.0,,,,1.0,5.0,519.0,286.0,,,,,8.0,650.0,478.0,8.0,574.0,302.0,0
1,2,00:44:16,66422,66431.0,1,0,A,2,點扣,,,1.0,5.0,519.0,286.0,2.0,5.0,417.0,544.0,,,,,8.0,568.0,296.0,8.0,661.0,507.0,0
1,3,00:44:17,66431,66458.0,1,0,B,2,防守回挑,,1.0,2.0,5.0,417.0,544.0,1.0,8.0,567.0,282.0,,,,,8.0,674.0,528.0,3.0,515.0,261.0,0
1,4,00:44:18,66458,66474.0,1,0,A,3,殺球,1.0,,1.0,8.0,567.0,282.0,2.0,4.0,884.0,620.0,對手落地致勝,落地致勝,A,,8.0,554.0,278.0,8.0,670.0,559.0,0
2,1,00:44:48,67215,67231.0,2,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,628.0,447.0,,,,,8.0,650.0,321.0,8.0,521.0,534.0,0
2,2,00:44:49,67231,67252.0,2,0,B,2,推球,,,2.0,7.0,628.0,447.0,1.0,5.0,516.0,279.0,,,,,7.0,576.0,470.0,8.0,637.0,314.0,0
2,3,00:44:50,67252,67275.0,2,0,A,2,切球,,,1.0,5.0,516.0,279.0,2.0,7.0,510.0,448.0,,,,,8.0,538.0,294.0,8.0,620.0,524.0,0
2,4,00:44:51,67275,67308.0,2,0,B,2,推球,,1.0,2.0,7.0,510.0,448.0,1.0,9.0,727.0,267.0,,,,,8.0,523.0,477.0,8.0,602.0,298.0,0
2,5,00:44:52,67308,67319.0,2,0,A,2,殺球,1.0,,1.0,9.0,727.0,267.0,2.0,6.0,806.0,540.0,,,,,9.0,708.0,261.0,8.0,690.0,539.0,0
2,6,00:44:52,67319,67332.0,2,0,B,3,擋小球,,,2.0,6.0,806.0,540.0,2.0,7.0,760.0,408.0,未過網,對手未過網,A,,8.0,715.0,565.0,9.0,709.0,267.0,0
3,1,00:45:09,67731,,3,0,A,1,未知球種,,,2.0,,,,,7.0,760.0,408.0,,,,1,8.0,715.0,565.0,9.0,709.0,267.0,0
4,1,00:45:30,68273,68290.0,4,0,A,1,發短球,,1.0,2.0,,,,2.0,1.0,470.0,450.0,,,,,8.0,649.0,320.0,8.0,528.0,540.0,0
4,2,00:45:31,68290,68313.0,4,0,B,2,放小球,,1.0,2.0,1.0,470.0,450.0,2.0,7.0,634.0,378.0,,,,,7.0,591.0,457.0,8.0,630.0,318.0,0
4,3,00:45:32,68313,68341.0,4,0,A,2,挑球,,1.0,2.0,7.0,634.0,378.0,1.0,8.0,556.0,593.0,,,,,7.0,599.0,362.0,7.0,617.0,452.0,0
4,4,00:45:33,68341,68381.0,4,0,B,2,長球,1.0,,1.0,8.0,556.0,593.0,1.0,4.0,753.0,262.0,,,,,8.0,623.0,566.0,8.0,612.0,326.0,0
4,5,00:45:35,68381,68392.0,4,0,A,2,殺球,1.0,,1.0,4.0,753.0,262.0,2.0,6.0,860.0,542.0,,,,,9.0,728.0,265.0,8.0,700.0,548.0,0
4,6,00:45:35,68392,68414.0,4,0,B,2,擋小球,,,2.0,6.0,860.0,542.0,1.0,2.0,788.0,353.0,,,,,8.0,727.0,552.0,9.0,729.0,255.0,0
4,7,00:45:36,68414,136702.0,4,0,A,3,撲球,,1.0,1.0,2.0,788.0,353.0,2.0,9.0,686.0,625.0,對手落地致勝,落地致勝,A,,2.0,776.0,344.0,8.0,768.0,520.0,0
5,1,00:45:58,68970,,4,1,A,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
6,1,00:47:08,70706,70723.0,4,2,B,1,發短球,,1.0,2.0,,,,2.0,7.0,694.0,350.0,,,,,8.0,625.0,491.0,8.0,705.0,306.0,0
6,2,00:47:08,70723,70742.0,4,2,A,2,放小球,,,2.0,7.0,694.0,350.0,2.0,2.0,799.0,422.0,,,,,8.0,697.0,334.0,7.0,651.0,471.0,0
6,3,00:47:09,70742,70773.0,4,2,B,2,挑球,,,2.0,2.0,799.0,422.0,1.0,4.0,760.0,263.0,,,,,7.0,756.0,444.0,8.0,684.0,334.0,0
6,4,00:47:10,70773,70798.0,4,2,A,3,點扣,1.0,,1.0,4.0,760.0,263.0,2.0,11.0,908.0,548.0,出界,對手出界,B,,9.0,702.0,271.0,8.0,694.0,514.0,0
7,1,00:47:28,71219,71236.0,5,2,B,1,發短球,,1.0,2.0,,,,2.0,7.0,578.0,354.0,,,,,8.0,652.0,478.0,8.0,571.0,306.0,0
7,2,00:47:29,71236,71270.0,5,2,A,2,挑球,,,2.0,7.0,578.0,354.0,1.0,4.0,812.0,628.0,,,,,8.0,581.0,338.0,7.0,630.0,475.0,0
7,3,00:47:30,71270,71297.0,5,2,B,2,長球,,,1.0,4.0,812.0,628.0,1.0,3.0,487.0,261.0,,,,,9.0,746.0,621.0,8.0,633.0,309.0,0
7,4,00:47:31,71297,71314.0,5,2,A,3,殺球,,,1.0,3.0,487.0,261.0,2.0,6.0,851.0,511.0,對手落地致勝,落地致勝,A,,3.0,532.0,271.0,8.0,710.0,571.0,0
8,1,00:48:15,72384,72399.0,5,3,A,1,發短球,,1.0,2.0,,,,2.0,7.0,621.0,441.0,,,,,8.0,642.0,319.0,8.0,523.0,537.0,0
8,2,00:48:15,72399,72412.0,5,3,B,2,放小球,,,2.0,7.0,621.0,441.0,2.0,7.0,627.0,344.0,,,,,7.0,567.0,457.0,8.0,629.0,315.0,0
8,3,00:48:16,72412,72428.0,5,3,A,2,放小球,,,2.0,7.0,627.0,344.0,2.0,7.0,733.0,423.0,,,,,8.0,650.0,336.0,8.0,622.0,486.0,0
8,4,00:48:17,72428,72448.0,5,3,B,2,放小球,,,2.0,7.0,733.0,423.0,2.0,7.0,569.0,379.0,,,,,7.0,745.0,468.0,8.0,664.0,334.0,0
8,5,00:48:17,72448,72481.0,5,3,A,2,挑球,,,2.0,7.0,569.0,379.0,1.0,8.0,771.0,602.0,,,,,8.0,539.0,343.0,8.0,625.0,479.0,0
8,6,00:48:19,72481,72489.0,5,3,B,2,殺球,,,1.0,8.0,771.0,602.0,2.0,8.0,594.0,304.0,,,,,9.0,711.0,616.0,8.0,621.0,304.0,0
8,7,00:48:19,72489,72513.0,5,3,A,2,擋小球,,,2.0,8.0,594.0,304.0,1.0,7.0,643.0,457.0,,,,,8.0,605.0,296.0,9.0,803.0,615.0,0
8,8,00:48:20,72513,72523.0,5,3,B,2,平球,,1.0,1.0,7.0,643.0,457.0,1.0,8.0,660.0,316.0,,,,,8.0,706.0,501.0,8.0,614.0,305.0,0
8,9,00:48:20,72523,72532.0,5,3,A,2,平球,,,1.0,8.0,660.0,316.0,1.0,7.0,748.0,466.0,,,,,8.0,612.0,305.0,8.0,673.0,484.0,0
8,10,00:48:21,72532,72543.0,5,3,B,2,平球,,,1.0,7.0,748.0,466.0,2.0,6.0,755.0,303.0,,,,,8.0,689.0,486.0,8.0,627.0,306.0,0
8,11,00:48:21,72543,72562.0,5,3,A,2,防守回抽,,1.0,2.0,6.0,755.0,303.0,1.0,8.0,568.0,530.0,,,,,8.0,634.0,299.0,7.0,700.0,467.0,0
8,12,00:48:22,72562,72572.0,5,3,B,2,殺球,1.0,,1.0,8.0,568.0,530.0,2.0,5.0,511.0,285.0,,,,,8.0,642.0,537.0,8.0,624.0,307.0,0
8,13,00:48:22,72572,72587.0,5,3,A,2,擋小球,,,2.0,5.0,511.0,285.0,1.0,1.0,509.0,434.0,,,,,8.0,610.0,296.0,8.0,583.0,533.0,0
8,14,00:48:23,72587,72594.0,5,3,B,3,撲球,,,1.0,1.0,509.0,434.0,2.0,8.0,718.0,311.0,對手落地致勝,落地致勝,B,,5.0,486.0,494.0,5.0,501.0,279.0,0
9,1,00:48:52,73305,73322.0,6,3,B,1,發短球,,1.0,2.0,,,,2.0,7.0,682.0,348.0,,,,,8.0,626.0,485.0,8.0,711.0,305.0,0
9,2,00:48:52,73322,73330.0,6,3,A,2,平球,,1.0,2.0,7.0,682.0,348.0,1.0,8.0,514.0,513.0,,,,,7.0,662.0,349.0,8.0,672.0,511.0,0
9,3,00:48:53,73330,73349.0,6,3,B,2,平球,,1.0,1.0,8.0,514.0,513.0,1.0,5.0,514.0,331.0,,,,,8.0,667.0,510.0,7.0,650.0,346.0,0
9,4,00:48:53,73349,73372.0,6,3,A,2,擋小球,,,1.0,5.0,514.0,331.0,2.0,1.0,451.0,451.0,,,,,5.0,511.0,334.0,8.0,649.0,543.0,0
9,5,00:48:54,73372,73404.0,6,3,B,2,挑球,,1.0,2.0,1.0,451.0,451.0,1.0,3.0,479.0,274.0,,,,,1.0,455.0,467.0,8.0,559.0,327.0,0
9,6,00:48:56,73404,73413.0,6,3,A,2,點扣,,,1.0,3.0,479.0,274.0,2.0,8.0,604.0,562.0,,,,,8.0,539.0,292.0,8.0,622.0,539.0,0
9,7,00:48:56,73413,73430.0,6,3,B,3,擋小球,,1.0,2.0,8.0,604.0,562.0,2.0,7.0,701.0,380.0,未過網,對手未過網,A,,8.0,654.0,569.0,14.0,450.0,271.0,0
10,1,00:49:16,73900,,7,3,A,1,未知球種,,,2.0,,,,,7.0,701.0,380.0,,,,1,8.0,654.0,569.0,14.0,450.0,271.0,0
11,1,00:49:42,74568,74583.0,8,3,A,1,發短球,,1.0,2.0,,,,2.0,7.0,594.0,445.0,,,,,8.0,642.0,314.0,8.0,522.0,537.0,0
11,2,00:49:43,74583,74599.0,8,3,B,2,放小球,,,2.0,7.0,594.0,445.0,2.0,7.0,604.0,377.0,,,,,7.0,552.0,469.0,8.0,640.0,311.0,0
11,3,00:49:43,74599,74618.0,8,3,A,2,放小球,,,2.0,7.0,604.0,377.0,2.0,7.0,708.0,436.0,,,,,7.0,636.0,356.0,8.0,621.0,506.0,0
