rally,ball_round,time,frame_num,end_frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:34:45,52136,52163,0,1,A,1,發短球,,1.0,2.0,,,,1.0,2,779,424,,,,,8,626,318,8,727,527,0
1,2,00:34:46,52163,52174,0,1,B,2,推球,,,1.0,2.0,779.0,424.0,2.0,6,770,298,,,,,7,695,433,8,641,316,0
1,3,00:34:46,52174,52196,0,1,A,3,平球,,1.0,2.0,6.0,770.0,298.0,2.0,15,370,550,出界,對手出界,B,,8,666,312,7,698,454,0
2,1,00:34:58,52463,52478,1,1,B,1,發短球,,1.0,2.0,,,,2.0,7,714,365,,,,,8,624,500,8,717,299,0
2,2,00:34:59,52478,52498,1,1,A,2,放小球,,,2.0,7.0,714.0,365.0,2.0,2,797,413,,,,,8,694,338,8,661,505,0
2,3,00:34:59,52498,52527,1,1,B,2,挑球,,,2.0,2.0,797.0,413.0,2.0,4,797,258,,,,,7,732,433,7,673,345,0
2,4,00:35:01,52527,52539,1,1,A,2,後場抽平球,,1.0,2.0,4.0,797.0,258.0,1.0,6,839,533,,,,,4,758,266,8,717,522,0
2,5,00:35:01,52539,52556,1,1,B,2,平球,,,1.0,6.0,839.0,533.0,1.0,8,558,298,,,,,8,753,557,8,704,274,0
2,6,00:35:02,52556,52579,1,1,A,2,放小球,,,1.0,8.0,558.0,298.0,2.0,7,552,421,,,,,8,605,289,8,738,540,0
2,7,00:35:03,52579,52624,1,1,B,2,挑球,,,2.0,7.0,552.0,421.0,1.0,9,543,262,,,,,7,555,450,8,595,307,0
2,8,00:35:04,52624,52639,1,1,A,2,點扣,,,1.0,9.0,543.0,262.0,2.0,5,439,517,,,,,9,556,258,8,673,538,0
2,9,00:35:05,52639,52660,1,1,B,2,擋小球,,1.0,2.0,5.0,439.0,517.0,2.0,1,482,361,,,,,8,537,509,9,576,264,0
2,10,00:35:06,52660,52671,1,1,A,2,推球,,,2.0,1.0,482.0,361.0,1.0,5,421,535,,,,,1,526,344,8,565,501,0
2,11,00:35:06,52671,52682,1,1,B,2,平球,,1.0,1.0,5.0,421.0,535.0,1.0,8,703,302,,,,,8,580,502,8,538,335,0
2,12,00:35:07,52682,52701,1,1,A,2,擋小球,,1.0,1.0,8.0,703.0,302.0,2.0,7,695,461,,,,,8,568,318,5,492,522,0
2,13,00:35:08,52701,52726,1,1,B,2,放小球,,,2.0,7.0,695.0,461.0,2.0,1,503,347,,,,,8,676,502,8,693,303,0
2,14,00:35:09,52726,52754,1,1,A,2,挑球,,,2.0,1.0,503.0,347.0,1.0,6,808,596,,,,,8,544,332,8,630,504,0
2,15,00:35:10,52754,52767,1,1,B,3,切球,,,1.0,6.0,808.0,596.0,2.0,2,807,399,掛網,對手掛網,A,,8,740,591,8,637,307,0
3,1,00:35:32,53301,53323,1,2,A,1,發短球,,1.0,2.0,,,,2.0,7,619,442,,,,,8,650,316,8,540,531,0
3,2,00:35:32,53323,53341,1,2,B,2,放小球,,,2.0,7.0,619.0,442.0,2.0,7,575,373,,,,,7,589,462,8,650,310,0
3,3,00:35:33,53341,53357,1,2,A,3,放小球,,,2.0,7.0,575.0,373.0,2.0,7,630,382,掛網,對手掛網,B,,7,626,352,7,621,470,0
4,1,00:35:45,53638,53667,2,2,B,1,發長球,,1.0,2.0,,,,1.0,3,534,265,,,,,8,659,498,8,580,303,0
4,2,00:35:46,53667,53682,2,2,A,2,殺球,,,1.0,3.0,534.0,265.0,2.0,6,791,524,,,,,9,559,262,8,671,525,0
4,3,00:35:47,53682,53706,2,2,B,2,擋小球,,,2.0,6.0,791.0,524.0,2.0,7,752,348,,,,,8,689,546,9,543,254,0
4,4,00:35:48,53706,53730,2,2,A,2,放小球,,1.0,2.0,7.0,752.0,348.0,2.0,2,801,415,,,,,8,737,326,8,752,524,0
4,5,00:35:49,53730,53788,2,2,B,2,挑球,,,2.0,2.0,801.0,415.0,1.0,3,536,258,,,,,7,770,436,8,714,339,0
4,6,00:35:51,53788,53798,2,2,A,2,切球,,,1.0,3.0,536.0,258.0,2.0,7,526,445,,,,,9,554,254,8,663,522,0
4,7,00:35:51,53798,53825,2,2,B,2,挑球,,1.0,2.0,7.0,526.0,445.0,1.0,3,493,263,,,,,8,588,491,9,614,271,0
4,8,00:35:53,53825,53846,2,2,A,2,過度切球,,,1.0,3.0,493.0,263.0,2.0,2,787,457,,,,,9,542,260,8,622,534,0
4,9,00:35:53,53846,53872,2,2,B,2,放小球,,,2.0,2.0,787.0,457.0,2.0,2,815,373,,,,,8,684,538,3,515,266,0
4,10,00:35:54,53872,53902,2,2,A,2,挑球,,1.0,2.0,2.0,815.0,373.0,1.0,3,439,615,,,,,2,772,351,2,840,469,0
4,11,00:35:56,53902,53906,2,2,B,3,過度切球,,1.0,1.0,3.0,439.0,615.0,2.0,1,459,403,掛網,對手掛網,A,,5,472,578,8,649,302,0
5,1,00:36:29,54739,54774,2,3,A,1,發短球,,1.0,2.0,,,,2.0,7,729,443,,,,,8,628,316,8,736,532,0
5,2,00:36:30,54774,54793,2,3,B,2,放小球,,,2.0,7.0,729.0,443.0,2.0,1,487,368,,,,,7,711,467,8,622,320,0
5,3,00:36:31,54793,54821,2,3,A,2,挑球,,,2.0,1.0,487.0,368.0,1.0,4,852,617,,,,,8,548,339,8,664,489,0
5,4,00:36:32,54821,54832,2,3,B,2,後場抽平球,,,1.0,4.0,852.0,617.0,1.0,8,717,304,,,,,8,795,603,8,628,301,0
5,5,00:36:33,54832,54847,2,3,A,2,擋小球,,1.0,1.0,8.0,717.0,304.0,2.0,8,681,477,,,,,8,630,294,8,778,569,0
5,6,00:36:33,54847,54856,2,3,B,2,平球,,1.0,2.0,8.0,681.0,477.0,1.0,8,703,307,,,,,8,709,497,8,636,298,0
5,7,00:36:34,54856,54879,2,3,A,2,擋小球,,1.0,1.0,8.0,703.0,307.0,2.0,2,793,459,,,,,8,640,294,8,724,503,0
5,8,00:36:35,54879,54907,2,3,B,2,挑球,,,2.0,2.0,793.0,459.0,1.0,4,760,262,,,,,8,762,487,8,679,321,0
5,9,00:36:36,54907,54914,2,3,A,2,殺球,1.0,,1.0,4.0,760.0,262.0,2.0,6,841,550,,,,,8,678,278,8,732,535,0
5,10,00:36:36,54914,54933,2,3,B,2,防守回抽,,,2.0,6.0,841.0,550.0,1.0,5,516,292,,,,,6,796,559,9,697,265,0
5,11,00:36:37,54933,54945,2,3,A,2,殺球,,,1.0,5.0,516.0,292.0,2.0,5,431,546,,,,,8,563,294,8,706,540,0
5,12,00:36:37,54945,54966,2,3,B,2,擋小球,,1.0,2.0,5.0,431.0,546.0,2.0,5,479,338,,,,,8,655,528,5,536,290,0
5,13,00:36:38,54966,54995,2,3,A,2,挑球,,,2.0,5.0,479.0,338.0,1.0,3,411,621,,,,,5,528,314,8,599,504,0
5,14,00:36:39,54995,55029,2,3,B,2,長球,,1.0,1.0,3.0,411.0,621.0,1.0,4,772,263,,,,,5,459,603,8,578,306,0
5,15,00:36:41,55029,55050,2,3,A,2,切球,,,1.0,4.0,772.0,263.0,2.0,1,469,474,,,,,9,731,264,8,678,560,0
5,16,00:36:42,55050,55076,2,3,B,2,放小球,,1.0,2.0,1.0,469.0,474.0,2.0,1,464,365,,,,,8,524,492,9,739,269,0
5,17,00:36:43,55076,55106,2,3,A,3,放小球,,,2.0,1.0,464.0,365.0,2.0,1,459,393,未過網,對手未過網,B,,5,513,341,8,587,494,0
6,1,00:37:01,55536,55573,3,3,B,1,發短球,,1.0,2.0,,,,2.0,7,687,350,,,,,8,624,505,8,714,306,0
6,2,00:37:02,55573,55600,3,3,A,2,點扣,,,2.0,7.0,687.0,350.0,2.0,1,475,441,,,,,8,697,330,8,677,505,0
6,3,00:37:04,55600,55646,3,3,B,2,挑球,,1.0,2.0,1.0,475.0,441.0,1.0,3,540,261,,,,,7,529,458,8,626,304,0
6,4,00:37:05,55646,55662,3,3,A,3,殺球,,,1.0,3.0,540.0,261.0,2.0,6,878,525,對手落地致勝,落地致勝,A,,9,542,262,8,671,536,0
7,1,00:37:36,56400,56414,4,3,A,1,發短球,,1.0,2.0,,,,2.0,7,648,446,,,,,8,654,318,8,537,531,0
7,2,00:37:36,56414,56424,4,3,B,2,推球,,,2.0,7.0,648.0,446.0,1.0,5,527,301,,,,,7,564,466,8,623,306,0
