Score,UpCourt,DownCourt,Start,End,Comment
1_00_01,Akane YAMAGUCHI,PUSARLA V. Sindhu,246,630,0
1_01_01,Akane YAMAGUCHI,PUSARLA V. Sindhu,958,1137,0
1_01_02,Akane YAMAGUCHI,PUSARLA V. Sindhu,1577,2008,0
1_02_02,Akane YAMAGUCHI,PUSARLA V. Sindhu,2390,2601,0
1_02_03,Akane YAMAGUCHI,PUSARLA V. Sindhu,3037,3432,0
1_02_04,Akane YAMAGUCHI,PUSARLA V. Sindhu,3965,4115,0
1_03_04,Akane YAMAGUCHI,PUSARLA V. Sindhu,4621,4858,0
1_03_05,Akane YAMAGUCHI,PUSARLA V. Sindhu,5246,5636,0
1_04_05,Akane YAMAGUCHI,PUSARLA V. Sindhu,6101,6341,0
1_04_06,Akane YAMAGUCHI,PUSARLA V. Sindhu,6990,7209,0
1_05_06,Akane YAMAGUCHI,PUSARLA V. Sindhu,7572,7721,0
1_06_06,Akane YAMAGUCHI,PUSARLA V. Sindhu,8201,8863,0
1_07_06,Akane YAMAGUCHI,PUSARLA V. Sindhu,9523,9925,0
1_08_06,Akane YAMAGUCHI,PUSARLA V. Sindhu,11060,11242,0
1_08_07,Akane YAMAGUCHI,PUSARLA V. Sindhu,11653,12155,0
1_09_07,Akane YAMAGUCHI,PUSARLA V. Sindhu,12972,13434,0
1_10_07,Akane YAMAGUCHI,PUSARLA V. Sindhu,13982,14064,0
1_11_07,Akane YAMAGUCHI,PUSARLA V. Sindhu,14454,14964,0
1_11_08,Akane YAMAGUCHI,PUSARLA V. Sindhu,16796,16914,0
1_12_08,Akane YAMAGUCHI,PUSARLA V. Sindhu,17828,18035,0
1_13_08,Akane YAMAGUCHI,PUSARLA V. Sindhu,18388,18915,0
1_13_09,Akane YAMAGUCHI,PUSARLA V. Sindhu,19625,19972,0
1_14_09,Akane YAMAGUCHI,PUSARLA V. Sindhu,20836,21473,0
1_14_10,Akane YAMAGUCHI,PUSARLA V. Sindhu,22136,22309,0
1_14_11,Akane YAMAGUCHI,PUSARLA V. Sindhu,22927,23393,0
1_15_11,Akane YAMAGUCHI,PUSARLA V. Sindhu,23873,24064,0
1_16_11,Akane YAMAGUCHI,PUSARLA V. Sindhu,24565,24660,0
1_17_11,Akane YAMAGUCHI,PUSARLA V. Sindhu,24961,25640,0
1_18_11,Akane YAMAGUCHI,PUSARLA V. Sindhu,26854,27146,0
1_18_12,Akane YAMAGUCHI,PUSARLA V. Sindhu,27533,27984,0
1_18_13,Akane YAMAGUCHI,PUSARLA V. Sindhu,28894,29383,0
1_19_13,Akane YAMAGUCHI,PUSARLA V. Sindhu,30508,31160,0
1_20_13,Akane YAMAGUCHI,PUSARLA V. Sindhu,32239,32507,0
1_21_13,Akane YAMAGUCHI,PUSARLA V. Sindhu,32946,33037,0
2_01_00,PUSARLA V. Sindhu,Akane YAMAGUCHI,36597,36803,0
2_01_01,PUSARLA V. Sindhu,Akane YAMAGUCHI,37432,37542,0
2_02_01,PUSARLA V. Sindhu,Akane YAMAGUCHI,37867,38015,0
2_02_02,PUSARLA V. Sindhu,Akane YAMAGUCHI,38832,39383,0
2_03_02,PUSARLA V. Sindhu,Akane YAMAGUCHI,39847,40382,0
2_03_03,PUSARLA V. Sindhu,Akane YAMAGUCHI,40904,41639,0
2_04_03,PUSARLA V. Sindhu,Akane YAMAGUCHI,42184,42264,0
2_05_03,PUSARLA V. Sindhu,Akane YAMAGUCHI,42682,42848,0
2_05_04,PUSARLA V. Sindhu,Akane YAMAGUCHI,43998,44241,0
2_06_04,PUSARLA V. Sindhu,Akane YAMAGUCHI,44729,45103,0
2_06_05,PUSARLA V. Sindhu,Akane YAMAGUCHI,45609,46414,0
2_07_05,PUSARLA V. Sindhu,Akane YAMAGUCHI,47063,47193,0
2_08_05,PUSARLA V. Sindhu,Akane YAMAGUCHI,47630,47852,0
2_09_05,PUSARLA V. Sindhu,Akane YAMAGUCHI,48318,48464,0
2_10_05,PUSARLA V. Sindhu,Akane YAMAGUCHI,48841,49049,0
2_10_06,PUSARLA V. Sindhu,Akane YAMAGUCHI,49448,50096,0
2_11_06,PUSARLA V. Sindhu,Akane YAMAGUCHI,51172,51756,0
2_12_06,PUSARLA V. Sindhu,Akane YAMAGUCHI,53644,54037,0
2_12_07,PUSARLA V. Sindhu,Akane YAMAGUCHI,54696,54972,0
2_13_07,PUSARLA V. Sindhu,Akane YAMAGUCHI,55439,55603,1
2_13_08,PUSARLA V. Sindhu,Akane YAMAGUCHI,55974,56162,0
2_14_08,PUSARLA V. Sindhu,Akane YAMAGUCHI,56475,56887,0
2_14_09,PUSARLA V. Sindhu,Akane YAMAGUCHI,57413,57939,0
2_14_10,PUSARLA V. Sindhu,Akane YAMAGUCHI,59005,59136,0
2_14_11,PUSARLA V. Sindhu,Akane YAMAGUCHI,59460,59587,0
2_15_11,PUSARLA V. Sindhu,Akane YAMAGUCHI,59942,60439,0
2_15_12,PUSARLA V. Sindhu,Akane YAMAGUCHI,60981,61324,0
2_15_13,PUSARLA V. Sindhu,Akane YAMAGUCHI,62017,62242,0
2_15_14,PUSARLA V. Sindhu,Akane YAMAGUCHI,62704,64102,0
2_15_15,PUSARLA V. Sindhu,Akane YAMAGUCHI,66257,66643,0
2_15_16,PUSARLA V. Sindhu,Akane YAMAGUCHI,67392,67470,0
2_16_16,PUSARLA V. Sindhu,Akane YAMAGUCHI,67768,68646,0
2_16_17,PUSARLA V. Sindhu,Akane YAMAGUCHI,69473,70038,0
2_16_18,PUSARLA V. Sindhu,Akane YAMAGUCHI,71127,71626,0
2_17_18,PUSARLA V. Sindhu,Akane YAMAGUCHI,72799,72906,0
2_18_18,PUSARLA V. Sindhu,Akane YAMAGUCHI,73692,73823,0
2_18_19,PUSARLA V. Sindhu,Akane YAMAGUCHI,74319,74621,0
2_18_20,PUSARLA V. Sindhu,Akane YAMAGUCHI,75160,75385,0
2_19_20,PUSARLA V. Sindhu,Akane YAMAGUCHI,75911,76197,0
