rally,ball_round,time,frame_num,end_frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:25:26,36647,36647.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,785.0,486.0,,,,,8.0,616.0,368.0,8.0,755.0,531.0,0
1,2,00:25:26,36647,36666.0,1,0,B,2,放小球,,,2.0,7.0,785.0,486.0,2.0,2.0,804.0,425.0,,,,,7.0,761.0,508.0,8.0,619.0,369.0,0
1,3,00:25:27,36666,36705.0,1,0,A,2,挑球,,1.0,2.0,2.0,804.0,425.0,1.0,9.0,472.0,637.0,,,,,7.0,743.0,405.0,8.0,738.0,531.0,0
1,4,00:25:29,36705,36721.0,1,0,B,2,點扣,1.0,,1.0,9.0,472.0,637.0,2.0,5.0,393.0,362.0,,,,,9.0,521.0,638.0,8.0,591.0,347.0,0
1,5,00:25:30,36721,36741.0,1,0,A,2,擋小球,,,2.0,5.0,393.0,362.0,2.0,2.0,405.0,488.0,,,,,5.0,480.0,366.0,8.0,539.0,592.0,0
1,6,00:25:30,36741,36772.0,1,0,B,2,挑球,,1.0,2.0,2.0,405.0,488.0,1.0,4.0,797.0,327.0,,,,,2.0,447.0,502.0,8.0,539.0,344.0,0
1,7,00:25:32,36772,36787.0,1,0,A,3,殺球,1.0,,1.0,4.0,797.0,327.0,2.0,3.0,962.0,652.0,對手落地致勝,落地致勝,A,,9.0,707.0,317.0,8.0,656.0,572.0,0
2,1,00:26:00,37455,37472.0,1,1,A,1,發短球,,1.0,2.0,,,,2.0,7.0,497.0,504.0,,,,,8.0,646.0,376.0,8.0,538.0,559.0,0
2,2,00:26:01,37472,37497.0,1,1,B,2,推球,,1.0,2.0,7.0,497.0,504.0,2.0,3.0,418.0,316.0,,,,,7.0,601.0,506.0,8.0,613.0,367.0,0
2,3,00:26:02,37497,37511.0,1,1,A,2,後場抽平球,,,2.0,3.0,418.0,316.0,1.0,6.0,370.0,554.0,,,,,5.0,478.0,338.0,8.0,553.0,531.0,0
2,4,00:26:02,37511,37523.0,1,1,B,3,殺球,1.0,,1.0,6.0,370.0,554.0,2.0,8.0,775.0,363.0,對手落地致勝,落地致勝,B,,6.0,426.0,562.0,8.0,497.0,337.0,0
3,1,00:26:18,37887,37904.0,2,1,B,1,發短球,,1.0,2.0,,,,2.0,7.0,687.0,403.0,,,,,8.0,623.0,544.0,8.0,736.0,359.0,0
3,2,00:26:19,37904,37927.0,2,1,A,2,放小球,,,2.0,7.0,687.0,403.0,2.0,2.0,381.0,463.0,,,,,8.0,708.0,389.0,8.0,689.0,531.0,0
3,3,00:26:20,37927,37960.0,2,1,B,2,挑球,,1.0,2.0,2.0,381.0,463.0,1.0,9.0,543.0,323.0,,,,,7.0,468.0,502.0,8.0,586.0,374.0,0
3,4,00:26:21,37960,37976.0,2,1,A,2,挑球,,,1.0,9.0,543.0,323.0,2.0,5.0,920.0,573.0,,,,,9.0,545.0,319.0,8.0,610.0,565.0,0
3,5,00:26:22,37976,37995.0,2,1,B,3,擋小球,,,2.0,5.0,920.0,573.0,2.0,1.0,890.0,458.0,掛網,對手掛網,A,,8.0,685.0,600.0,8.0,563.0,337.0,0
4,1,00:26:58,38849,38865.0,2,2,A,1,發短球,,1.0,2.0,,,,2.0,7.0,733.0,504.0,,,,,8.0,613.0,374.0,8.0,746.0,553.0,0
4,2,00:26:59,38865,38891.0,2,2,B,2,挑球,,,2.0,7.0,733.0,504.0,1.0,3.0,441.0,319.0,,,,,8.0,700.0,522.0,8.0,604.0,362.0,0
4,3,00:27:00,38891,38901.0,2,2,A,2,點扣,,,1.0,3.0,441.0,319.0,2.0,6.0,356.0,575.0,,,,,8.0,489.0,329.0,8.0,631.0,558.0,0
4,4,00:27:00,38901,38921.0,2,2,B,2,擋小球,,1.0,2.0,6.0,356.0,575.0,2.0,1.0,440.0,414.0,,,,,8.0,606.0,581.0,8.0,507.0,334.0,0
4,5,00:27:01,38921,38941.0,2,2,A,2,勾球,,,2.0,1.0,440.0,414.0,2.0,1.0,832.0,491.0,,,,,1.0,472.0,405.0,8.0,569.0,559.0,0
4,6,00:27:02,38941,38972.0,2,2,B,2,挑球,,,2.0,1.0,832.0,491.0,1.0,4.0,833.0,323.0,,,,,7.0,741.0,515.0,8.0,560.0,379.0,0
4,7,00:27:03,38972,38993.0,2,2,A,2,長球,1.0,,1.0,4.0,833.0,323.0,1.0,5.0,920.0,611.0,,,,,9.0,732.0,327.0,8.0,680.0,567.0,0
4,8,00:27:04,38993,39004.0,2,2,B,2,殺球,,,1.0,5.0,920.0,611.0,2.0,6.0,841.0,358.0,,,,,8.0,839.0,618.0,9.0,706.0,322.0,0
4,9,00:27:05,39004,39021.0,2,2,A,2,擋小球,,1.0,2.0,6.0,841.0,358.0,2.0,7.0,747.0,484.0,,,,,8.0,614.0,352.0,5.0,879.0,608.0,0
4,10,00:27:05,39021,39045.0,2,2,B,2,放小球,,,2.0,7.0,747.0,484.0,2.0,7.0,658.0,416.0,,,,,7.0,748.0,507.0,8.0,682.0,352.0,0
4,11,00:27:06,39045,39098.0,2,2,A,2,挑球,,1.0,2.0,7.0,658.0,416.0,1.0,9.0,640.0,633.0,,,,,7.0,605.0,422.0,8.0,661.0,522.0,0
4,12,00:27:09,39098,39113.0,2,2,B,2,殺球,,,1.0,9.0,640.0,633.0,2.0,6.0,812.0,353.0,,,,,9.0,615.0,642.0,8.0,597.0,364.0,0
4,13,00:27:09,39113,39133.0,2,2,A,2,擋小球,,1.0,2.0,6.0,812.0,353.0,2.0,1.0,834.0,487.0,,,,,8.0,659.0,362.0,8.0,665.0,587.0,0
