rally,ball_round,time,frame_num,end_frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:05:53,10602,10661,1,0,A,1,發長球,,,2.0,,,,1.0,5.0,809.0,590.0,,,,,8.0,616.0,340.0,8.0,735.0,538.0,0
1,2,00:05:55,10661,10675,1,0,B,2,殺球,,,1.0,5.0,809.0,590.0,2.0,6.0,762.0,314.0,,,,,9.0,774.0,611.0,8.0,617.0,326.0,0
1,3,00:05:55,10675,10704,1,0,A,2,擋小球,,1.0,2.0,6.0,762.0,314.0,2.0,1.0,831.0,440.0,,,,,8.0,606.0,330.0,8.0,764.0,594.0,0
1,4,00:05:56,10704,10728,1,0,B,2,放小球,,,2.0,1.0,831.0,440.0,2.0,2.0,797.0,381.0,,,,,1.0,778.0,470.0,8.0,658.0,329.0,0
1,5,00:05:57,10728,10760,1,0,A,2,放小球,,1.0,2.0,2.0,797.0,381.0,2.0,1.0,812.0,413.0,,,,,7.0,746.0,372.0,8.0,738.0,485.0,0
1,6,00:05:58,10760,10780,1,0,B,2,勾球,,,2.0,1.0,812.0,413.0,1.0,7.0,655.0,397.0,,,,,1.0,784.0,447.0,7.0,709.0,370.0,0
1,7,00:05:59,10780,10787,1,0,A,3,撲球,,,1.0,7.0,655.0,397.0,2.0,8.0,672.0,508.0,對手落地致勝,落地致勝,A,,7.0,634.0,392.0,1.0,800.0,451.0,0
2,1,00:06:14,11226,11267,2,0,A,1,發長球,,,2.0,,,,1.0,9.0,479.0,596.0,,,,,8.0,646.0,332.0,8.0,531.0,552.0,0
2,2,00:06:15,11267,11289,2,0,B,2,切球,,,1.0,9.0,479.0,596.0,2.0,5.0,517.0,348.0,,,,,4.0,448.0,619.0,8.0,585.0,336.0,0
2,3,00:06:16,11289,11316,2,0,A,2,放小球,,,2.0,5.0,517.0,348.0,2.0,7.0,626.0,454.0,,,,,8.0,547.0,339.0,8.0,545.0,577.0,0
2,4,00:06:17,11316,11347,2,0,B,2,推球,,1.0,2.0,7.0,626.0,454.0,1.0,4.0,769.0,286.0,,,,,8.0,656.0,486.0,8.0,601.0,344.0,0
2,5,00:06:18,11347,11364,2,0,A,2,殺球,1.0,,1.0,4.0,769.0,286.0,2.0,8.0,509.0,511.0,,,,,8.0,692.0,304.0,8.0,677.0,536.0,0
2,6,00:06:18,11364,11398,2,0,B,3,擋小球,,1.0,2.0,8.0,509.0,511.0,2.0,2.0,488.0,420.0,掛網,對手掛網,A,,8.0,689.0,546.0,8.0,709.0,300.0,0
3,1,00:06:33,11813,11871,3,0,A,1,發長球,,,2.0,,,,1.0,9.0,769.0,629.0,,,,,8.0,613.0,341.0,8.0,733.0,537.0,0
3,2,00:06:35,11871,11891,3,0,B,2,切球,,,1.0,9.0,769.0,629.0,2.0,5.0,514.0,332.0,,,,,9.0,715.0,637.0,8.0,611.0,336.0,0
3,3,00:06:36,11891,11929,3,0,A,2,挑球,,,2.0,5.0,514.0,332.0,1.0,8.0,616.0,575.0,,,,,8.0,562.0,329.0,8.0,652.0,574.0,0
3,4,00:06:37,11929,11961,3,0,B,2,長球,,,1.0,8.0,616.0,575.0,1.0,5.0,502.0,294.0,,,,,9.0,556.0,601.0,8.0,608.0,336.0,0
3,5,00:06:38,11961,11987,3,0,A,2,過度切球,,,1.0,5.0,502.0,294.0,2.0,2.0,435.0,454.0,,,,,5.0,520.0,303.0,8.0,608.0,571.0,0
3,6,00:06:39,11987,12018,3,0,B,2,推球,,1.0,2.0,2.0,435.0,454.0,1.0,4.0,746.0,290.0,,,,,6.0,465.0,487.0,8.0,580.0,310.0,0
3,7,00:06:40,12018,12031,3,0,A,2,殺球,1.0,,1.0,4.0,746.0,290.0,2.0,5.0,824.0,525.0,,,,,8.0,659.0,304.0,8.0,594.0,528.0,0
3,8,00:06:41,12031,12064,3,0,B,2,擋小球,,,2.0,5.0,824.0,525.0,2.0,2.0,820.0,366.0,,,,,8.0,742.0,546.0,8.0,660.0,308.0,0
3,9,00:06:42,12064,12095,3,0,A,2,推球,,1.0,2.0,2.0,820.0,366.0,2.0,5.0,837.0,593.0,,,,,2.0,783.0,360.0,8.0,698.0,535.0,0
3,10,00:06:43,12095,12122,3,0,B,2,長球,,,2.0,5.0,837.0,593.0,1.0,5.0,534.0,306.0,,,,,9.0,771.0,608.0,8.0,700.0,345.0,0
3,11,00:06:44,12122,12151,3,0,A,2,切球,,,1.0,5.0,534.0,306.0,2.0,2.0,468.0,430.0,,,,,8.0,544.0,309.0,8.0,686.0,558.0,0
3,12,00:06:45,12151,12184,3,0,B,2,推球,,1.0,2.0,2.0,468.0,430.0,1.0,6.0,761.0,292.0,,,,,7.0,515.0,471.0,8.0,560.0,331.0,0
3,13,00:06:46,12184,12218,3,0,A,2,長球,1.0,,1.0,6.0,761.0,292.0,1.0,8.0,784.0,576.0,,,,,8.0,669.0,303.0,8.0,608.0,518.0,0
3,14,00:06:47,12218,12240,3,0,B,2,切球,,,1.0,8.0,784.0,576.0,2.0,5.0,523.0,349.0,,,,,8.0,735.0,596.0,8.0,659.0,325.0,0
3,15,00:06:48,12240,12271,3,0,A,2,放小球,,,2.0,5.0,523.0,349.0,2.0,2.0,485.0,434.0,,,,,8.0,545.0,344.0,9.0,708.0,608.0,0
3,16,00:06:49,12271,12308,3,0,B,2,推球,,1.0,2.0,2.0,485.0,434.0,1.0,4.0,760.0,288.0,,,,,8.0,508.0,483.0,8.0,594.0,349.0,0
3,17,00:06:50,12308,12338,3,0,A,2,長球,1.0,,1.0,4.0,760.0,288.0,1.0,8.0,528.0,567.0,,,,,8.0,672.0,299.0,8.0,632.0,525.0,0
3,18,00:06:51,12338,12371,3,0,B,2,長球,1.0,,1.0,8.0,528.0,567.0,1.0,3.0,513.0,285.0,,,,,8.0,572.0,560.0,8.0,681.0,313.0,0
3,19,00:06:52,12371,12399,3,0,A,2,過度切球,,,1.0,3.0,513.0,285.0,2.0,2.0,507.0,432.0,,,,,5.0,531.0,300.0,8.0,590.0,575.0,0
3,20,00:06:53,12399,12427,3,0,B,2,推球,,1.0,2.0,2.0,507.0,432.0,1.0,9.0,736.0,286.0,,,,,8.0,532.0,478.0,8.0,581.0,329.0,0
3,21,00:06:54,12427,12461,3,0,A,2,長球,1.0,,1.0,9.0,736.0,286.0,1.0,6.0,468.0,579.0,,,,,8.0,657.0,309.0,8.0,601.0,510.0,0
3,22,00:06:55,12461,12497,3,0,B,2,長球,1.0,,1.0,6.0,468.0,579.0,1.0,4.0,772.0,288.0,,,,,8.0,558.0,582.0,8.0,638.0,313.0,0
3,23,00:06:56,12497,12516,3,0,A,2,切球,1.0,,1.0,4.0,772.0,288.0,2.0,5.0,794.0,488.0,,,,,8.0,689.0,309.0,8.0,601.0,569.0,0
3,24,00:06:57,12516,12532,3,0,B,2,平球,,,2.0,5.0,794.0,488.0,1.0,8.0,581.0,308.0,,,,,8.0,761.0,525.0,8.0,705.0,312.0,0
3,25,00:06:57,12532,12559,3,0,A,2,擋小球,,,1.0,8.0,581.0,308.0,2.0,2.0,430.0,457.0,,,,,8.0,664.0,313.0,8.0,709.0,516.0,0
3,26,00:06:58,12559,12594,3,0,B,2,挑球,,1.0,2.0,2.0,430.0,457.0,1.0,4.0,775.0,284.0,,,,,6.0,452.0,496.0,8.0,575.0,318.0,0
3,27,00:06:59,12594,12628,3,0,A,2,長球,,,1.0,4.0,775.0,284.0,1.0,5.0,819.0,575.0,,,,,8.0,687.0,301.0,8.0,618.0,522.0,0
3,28,00:07:00,12628,12655,3,0,B,2,切球,,,1.0,5.0,819.0,575.0,2.0,1.0,485.0,360.0,,,,,8.0,765.0,592.0,8.0,677.0,316.0,0
