Score,UpCourt,DownCourt,Start,End,Comment
1_00_01,Akane YAMAGUCHI,An Se Young,18250,18676,0
1_01_01,Akane YAMAGUCHI,An Se Young,18941,19198,0
1_01_02,Akane YAMAGUCHI,An Se Young,19632,19977,0
1_02_02,Akane YAMAGUCHI,An Se Young,20382,20669,0
1_02_03,Akane YAMAGUCHI,An Se Young,21262,21450,0
1_03_03,Akane YAMAGUCHI,An Se Young,21797,22121,0
1_04_03,Akane YAMAGUCHI,An Se Young,22493,22867,0
1_05_03,Akane YAMAGUCHI,An Se Young,24173,25107,0
1_06_03,Akane YAMAGUCHI,An Se Young,25638,25792,0
1_06_04,Akane YAMAGUCHI,An Se Young,26164,26333,0
1_07_04,Akane YAMAGUCHI,An Se Young,26676,27726,0
1_07_05,Akane YAMAGUCHI,An Se Young,28284,28664,0
1_07_06,Akane YAMAGUCHI,An Se Young,29119,29248,1
1_08_06,Akane YAMAGUCHI,An Se Young,29576,29960,1
1_09_06,Akane YAMAGUCHI,An Se Young,30830,31053,0
1_10_06,Akane YAMAGUCHI,An Se Young,31463,31839,1
1_11_06,Akane YAMAGUCHI,An Se Young,32250,32502,0
1_11_07,Akane YAMAGUCHI,An Se Young,34525,34973,1
1_12_07,Akane YAMAGUCHI,An Se Young,35399,35956,0
1_12_08,Akane YAMAGUCHI,An Se Young,36423,37121,0
1_12_09,Akane YAMAGUCHI,An Se Young,37621,38052,0
1_13_09,Akane YAMAGUCHI,An Se Young,38610,38950,0
1_14_09,Akane YAMAGUCHI,An Se Young,39412,39943,1
1_15_09,Akane YAMAGUCHI,An Se Young,40534,41251,0
1_15_10,Akane YAMAGUCHI,An Se Young,42493,42933,0
1_15_11,Akane YAMAGUCHI,An Se Young,43431,43703,0
1_16_11,Akane YAMAGUCHI,An Se Young,44203,44955,0
1_16_12,Akane YAMAGUCHI,An Se Young,45515,45891,0
1_17_12,Akane YAMAGUCHI,An Se Young,46635,46922,0
1_18_12,Akane YAMAGUCHI,An Se Young,47422,47550,0
1_18_13,Akane YAMAGUCHI,An Se Young,47894,48185,1
1_18_14,Akane YAMAGUCHI,An Se Young,48681,49402,0
1_19_14,Akane YAMAGUCHI,An Se Young,49993,50865,0
1_19_15,Akane YAMAGUCHI,An Se Young,51921,52123,0
1_20_15,Akane YAMAGUCHI,An Se Young,52530,52635,0
1_21_15,Akane YAMAGUCHI,An Se Young,52998,53281,1
2_00_01,An Se Young,Akane YAMAGUCHI,57241,58185,0
2_00_02,An Se Young,Akane YAMAGUCHI,58588,59312,0
2_01_02,An Se Young,Akane YAMAGUCHI,59872,60456,0
2_01_03,An Se Young,Akane YAMAGUCHI,60830,61243,0
2_02_03,An Se Young,Akane YAMAGUCHI,61679,62458,0
2_03_03,An Se Young,Akane YAMAGUCHI,63038,63434,1
2_04_03,An Se Young,Akane YAMAGUCHI,63808,64186,0
2_05_03,An Se Young,Akane YAMAGUCHI,64560,64727,0
2_05_04,An Se Young,Akane YAMAGUCHI,65039,65388,0
2_05_05,An Se Young,Akane YAMAGUCHI,65793,66311,0
2_06_05,An Se Young,Akane YAMAGUCHI,66776,67292,0
2_06_06,An Se Young,Akane YAMAGUCHI,68102,68296,0
2_07_06,An Se Young,Akane YAMAGUCHI,68670,68932,0
2_07_07,An Se Young,Akane YAMAGUCHI,69279,70045,0
2_08_07,An Se Young,Akane YAMAGUCHI,70760,70955,0
2_09_07,An Se Young,Akane YAMAGUCHI,71899,72343,0
2_09_08,An Se Young,Akane YAMAGUCHI,72781,73595,0
2_10_08,An Se Young,Akane YAMAGUCHI,73963,75046,0
2_11_08,An Se Young,Akane YAMAGUCHI,76319,76581,0
2_12_08,An Se Young,Akane YAMAGUCHI,78602,78864,0
2_13_08,An Se Young,Akane YAMAGUCHI,79238,79440,0
2_14_08,An Se Young,Akane YAMAGUCHI,80126,80479,0
2_15_08,An Se Young,Akane YAMAGUCHI,80991,82102,0
2_15_09,An Se Young,Akane YAMAGUCHI,82724,82994,0
2_15_10,An Se Young,Akane YAMAGUCHI,83479,84080,1
2_16_10,An Se Young,Akane YAMAGUCHI,84611,85154,0
2_16_11,An Se Young,Akane YAMAGUCHI,85654,85949,0
2_16_12,An Se Young,Akane YAMAGUCHI,86416,86903,0
2_16_13,An Se Young,Akane YAMAGUCHI,87368,87626,0
2_16_14,An Se Young,Akane YAMAGUCHI,88248,88584,0
2_17_14,An Se Young,Akane YAMAGUCHI,88958,89389,0
2_18_14,An Se Young,Akane YAMAGUCHI,90879,91286,0
2_19_14,An Se Young,Akane YAMAGUCHI,92342,92813,0
2_19_15,An Se Young,Akane YAMAGUCHI,93466,93726,0
2_20_15,An Se Young,Akane YAMAGUCHI,94067,94643,0
2_21_15,An Se Young,Akane YAMAGUCHI,95329,96120,0
