rally,ball_round,time,frame_num,end_frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:09:19,16798,16816.0,1,0,B,1,發短球,,1.0,2.0,,,,2.0,7.0,687.0,470.0,,,,,8.0,618.0,360.0,8.0,703.0,537.0,0
1,2,00:09:20,16816,16829.0,1,0,A,2,推球,,,2.0,7.0,687.0,470.0,1.0,8.0,571.0,363.0,,,,,7.0,689.0,506.0,8.0,633.0,355.0,0
1,3,00:09:20,16829,16841.0,1,0,B,2,擋小球,,,1.0,8.0,571.0,363.0,2.0,2.0,493.0,497.0,,,,,8.0,601.0,362.0,8.0,653.0,522.0,0
1,4,00:09:21,16841,16863.0,1,0,A,2,平球,,1.0,2.0,2.0,493.0,497.0,1.0,5.0,470.0,380.0,,,,,8.0,640.0,535.0,8.0,638.0,353.0,0
1,5,00:09:22,16863,16896.0,1,0,B,2,推球,,,1.0,5.0,470.0,380.0,1.0,6.0,390.0,611.0,,,,,8.0,556.0,368.0,8.0,594.0,551.0,0
1,6,00:09:23,16896,16912.0,1,0,A,2,點扣,1.0,,1.0,6.0,390.0,611.0,2.0,8.0,529.0,351.0,,,,,6.0,452.0,614.0,8.0,609.0,344.0,0
1,7,00:09:23,16912,16935.0,1,0,B,2,勾球,,,2.0,8.0,529.0,351.0,2.0,7.0,726.0,478.0,,,,,8.0,608.0,345.0,6.0,471.0,594.0,0
1,8,00:09:24,16935,16965.0,1,0,A,2,推球,,,2.0,7.0,726.0,478.0,1.0,3.0,510.0,320.0,,,,,8.0,653.0,542.0,8.0,632.0,347.0,0
1,9,00:09:25,16965,16980.0,1,0,B,2,點扣,,,1.0,3.0,510.0,320.0,2.0,6.0,452.0,556.0,,,,,8.0,569.0,329.0,8.0,603.0,558.0,0
1,10,00:09:26,16980,17003.0,1,0,A,2,擋小球,,1.0,2.0,6.0,452.0,556.0,2.0,7.0,632.0,404.0,,,,,8.0,574.0,563.0,8.0,574.0,334.0,0
1,11,00:09:26,17003,17054.0,1,0,B,3,挑球,,,2.0,7.0,632.0,404.0,2.0,13.0,483.0,666.0,出界,對手出界,A,,8.0,648.0,369.0,8.0,608.0,557.0,0
2,1,00:09:45,17553,17592.0,2,0,A,1,發長球,,1.0,2.0,,,,1.0,4.0,760.0,316.0,,,,,8.0,622.0,523.0,8.0,735.0,353.0,0
2,2,00:09:46,17592,17604.0,2,0,B,2,點扣,1.0,,1.0,4.0,760.0,316.0,2.0,8.0,777.0,545.0,,,,,8.0,746.0,330.0,8.0,647.0,538.0,0
2,3,00:09:46,17604,17632.0,2,0,A,2,勾球,,,2.0,8.0,777.0,545.0,2.0,5.0,497.0,366.0,,,,,8.0,665.0,547.0,9.0,727.0,323.0,0
