rally,ball_round,time,frame_num,end_frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:15:46,23661,23682.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,555,360,,,,,8,656,499,8,580,301,0
1,2,00:15:47,23682,23703.0,1,0,B,2,放小球,,,2.0,7.0,555.0,360.0,2.0,7,654,458,,,,,7,592,353,8,656,502,0
1,3,00:15:48,23703,23724.0,1,0,A,2,挑球,,,2.0,7.0,654.0,458.0,1.0,8,556,275,,,,,8,617,480,8,610,340,0
1,4,00:15:48,23724,23735.0,1,0,B,2,點扣,,,1.0,8.0,556.0,275.0,2.0,5,442,556,,,,,8,595,301,8,624,525,0
1,5,00:15:49,23735,23758.0,1,0,A,2,擋小球,,1.0,2.0,5.0,442.0,556.0,2.0,1,505,347,,,,,8,656,548,5,515,290,0
1,6,00:15:50,23758,23780.0,1,0,B,2,挑球,,,2.0,1.0,505.0,347.0,1.0,5,420,562,,,,,8,564,342,8,587,539,0
1,7,00:15:51,23780,23806.0,1,0,A,2,長球,,1.0,1.0,5.0,420.0,562.0,1.0,3,526,263,,,,,5,473,573,8,609,317,0
1,8,00:15:52,23806,23825.0,1,0,B,2,過度切球,,,1.0,3.0,526.0,263.0,2.0,6,807,486,,,,,8,572,286,8,611,556,0
1,9,00:15:53,23825,23847.0,1,0,A,2,放小球,,,2.0,6.0,807.0,486.0,2.0,2,785,362,,,,,8,776,516,8,608,287,0
1,10,00:15:53,23847,23870.0,1,0,B,2,勾球,,1.0,2.0,2.0,785.0,362.0,2.0,1,437,438,,,,,8,738,339,8,745,530,0
1,11,00:15:54,23870,23919.0,1,0,A,3,挑球,,1.0,2.0,1.0,437.0,438.0,2.0,4,797,255,對手落地致勝,落地致勝,A,,1,506,456,8,662,329,0
2,1,00:16:14,24371,24388.0,2,0,A,1,發短球,,1.0,2.0,,,,2.0,2,756,351,,,,,8,621,507,8,707,299,0
2,2,00:16:15,24388,24404.0,2,0,B,2,放小球,,1.0,2.0,2.0,756.0,351.0,2.0,7,635,435,,,,,7,670,354,8,632,501,0
2,3,00:16:16,24404,24423.0,2,0,A,2,放小球,,1.0,2.0,7.0,635.0,435.0,2.0,7,749,378,,,,,7,660,453,8,644,339,0
2,4,00:16:16,24423,24451.0,2,0,B,2,推球,,1.0,2.0,7.0,749.0,378.0,1.0,9,501,615,,,,,7,718,365,7,672,466,0
2,5,00:16:18,24451,24473.0,2,0,A,2,切球,1.0,,1.0,9.0,501.0,615.0,2.0,6,772,336,,,,,8,591,579,8,605,314,0
2,6,00:16:18,24473,24496.0,2,0,B,2,放小球,,1.0,2.0,6.0,772.0,336.0,2.0,7,745,414,,,,,8,735,327,8,609,580,0
2,7,00:16:19,24496,24535.0,2,0,A,2,挑球,,,2.0,7.0,745.0,414.0,1.0,4,769,263,,,,,7,757,448,8,676,321,0
2,8,00:16:21,24535,24545.0,2,0,B,2,殺球,1.0,,1.0,4.0,769.0,263.0,2.0,8,755,554,,,,,9,733,269,8,695,529,0
2,9,00:16:21,24545,24568.0,2,0,A,2,擋小球,,,2.0,8.0,755.0,554.0,2.0,8,529,322,,,,,8,713,563,9,738,266,0
2,10,00:16:22,24568,24590.0,2,0,B,2,推球,,,2.0,8.0,529.0,322.0,1.0,5,447,561,,,,,8,584,322,8,628,511,0
2,11,00:16:23,24590,24600.0,2,0,A,2,點扣,1.0,,1.0,5.0,447.0,561.0,2.0,8,669,301,,,,,8,616,569,8,585,305,0
2,12,00:16:24,24600,24621.0,2,0,B,2,擋小球,,1.0,2.0,8.0,669.0,301.0,2.0,8,698,501,,,,,8,566,291,8,567,575,0
2,13,00:16:24,24621,24645.0,2,0,A,2,推球,,,2.0,8.0,698.0,501.0,1.0,4,778,265,,,,,8,647,515,8,630,311,0
2,14,00:16:25,24645,24664.0,2,0,B,3,點扣,1.0,,1.0,4.0,778.0,265.0,2.0,15,343,576,出界,對手出界,A,,8,712,289,8,686,547,0
3,1,00:16:44,25115,25132.0,3,0,A,1,發短球,,1.0,2.0,,,,2.0,5,497,339,,,,,8,654,514,8,580,305,0
3,2,00:16:45,25132,25153.0,3,0,B,2,放小球,,,2.0,5.0,497.0,339.0,2.0,1,453,425,,,,,8,540,340,8,632,503,0
3,3,00:16:46,25153,25186.0,3,0,A,2,推球,,1.0,2.0,1.0,453.0,425.0,1.0,9,735,263,,,,,1,497,454,8,562,335,0
3,4,00:16:47,25186,25201.0,3,0,B,2,過度切球,,1.0,1.0,9.0,735.0,263.0,1.0,2,776,447,,,,,9,710,273,8,681,507,0
3,5,00:16:48,25201,25211.0,3,0,A,2,推球,,,1.0,2.0,776.0,447.0,2.0,6,751,293,,,,,8,755,476,8,674,294,0
3,6,00:16:48,25211,25223.0,3,0,B,3,平球,,1.0,2.0,6.0,751.0,293.0,2.0,7,532,400,掛網,對手掛網,A,,8,653,307,8,756,492,0
