Score,UpCourt,DownCourt,Start,End,Comment
1_01_00,Viktor AXELSEN,Anthony Sinisuka GINTING,13670,14230,0
1_01_01,Viktor AXELSEN,Anthony Sinisuka GINTING,14637,14776,1
1_02_01,Viktor AXELSEN,Anthony Sinisuka GINTING,15072,15430,0
1_03_01,Viktor AXELSEN,Anthony Sinisuka GINTING,15935,16125,0
1_03_02,Viktor AXELSEN,Anthony Sinisuka GINTING,16716,16813,1
1_04_02,Viktor AXELSEN,Anthony Sinisuka GINTING,17094,17474,0
1_04_03,Viktor AXELSEN,Anthony Sinisuka GINTING,18108,18225,0
1_05_03,Viktor AXELSEN,Anthony Sinisuka GINTING,18560,19091,0
1_06_03,Viktor AXELSEN,Anthony Sinisuka GINTING,19710,19775,0
1_06_04,Viktor AXELSEN,Anthony Sinisuka GINTING,20026,20186,1
1_06_05,Viktor AXELSEN,Anthony Sinisuka GINTING,21137,21601,0
1_06_06,Viktor AXELSEN,Anthony Sinisuka GINTING,21984,22175,1
1_06_07,Viktor AXELSEN,Anthony Sinisuka GINTING,22689,22892,0
1_07_07,Viktor AXELSEN,Anthony Sinisuka GINTING,23786,23924,0
1_08_07,Viktor AXELSEN,Anthony Sinisuka GINTING,24266,24514,0
1_08_08,Viktor AXELSEN,Anthony Sinisuka GINTING,25109,25297,0
1_08_09,Viktor AXELSEN,Anthony Sinisuka GINTING,25726,25934,1
1_08_10,Viktor AXELSEN,Anthony Sinisuka GINTING,26419,26698,0
1_08_11,Viktor AXELSEN,Anthony Sinisuka GINTING,27293,27463,0
1_09_11,Viktor AXELSEN,Anthony Sinisuka GINTING,29359,29446,1
1_09_12,Viktor AXELSEN,Anthony Sinisuka GINTING,29843,29924,1
1_10_12,Viktor AXELSEN,Anthony Sinisuka GINTING,30236,30327,0
1_10_13,Viktor AXELSEN,Anthony Sinisuka GINTING,30770,31509,1
1_10_14,Viktor AXELSEN,Anthony Sinisuka GINTING,31957,32161,0
1_11_14,Viktor AXELSEN,Anthony Sinisuka GINTING,32851,32923,0
1_12_14,Viktor AXELSEN,Anthony Sinisuka GINTING,33352,33498,1
1_13_14,Viktor AXELSEN,Anthony Sinisuka GINTING,34474,34749,0
1_14_14,Viktor AXELSEN,Anthony Sinisuka GINTING,35740,36056,0
1_14_15,Viktor AXELSEN,Anthony Sinisuka GINTING,37049,37188,0
1_14_16,Viktor AXELSEN,Anthony Sinisuka GINTING,37772,37993,0
1_15_16,Viktor AXELSEN,Anthony Sinisuka GINTING,38982,39070,0
1_16_16,Viktor AXELSEN,Anthony Sinisuka GINTING,39485,39772,0
1_16_17,Viktor AXELSEN,Anthony Sinisuka GINTING,40274,40825,0
1_17_17,Viktor AXELSEN,Anthony Sinisuka GINTING,41916,42032,0
1_18_17,Viktor AXELSEN,Anthony Sinisuka GINTING,42994,43166,0
1_18_18,Viktor AXELSEN,Anthony Sinisuka GINTING,43836,43966,0
1_19_18,Viktor AXELSEN,Anthony Sinisuka GINTING,44353,44471,0
1_19_19,Viktor AXELSEN,Anthony Sinisuka GINTING,45023,45207,0
1_20_19,Viktor AXELSEN,Anthony Sinisuka GINTING,45621,45878,1
1_20_20,Viktor AXELSEN,Anthony Sinisuka GINTING,46595,46753,0
1_21_20,Viktor AXELSEN,Anthony Sinisuka GINTING,47848,47975,0
1_22_20,Viktor AXELSEN,Anthony Sinisuka GINTING,48499,48622,0
