rally,ball_round,time,frame_num,end_frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:00:10,255,309,0,1,B,1,發長球,,,2.0,,,,1.0,9,814,651,,,,,8,596,391,8,775,576,0
1,2,00:00:12,309,320,0,1,A,2,殺球,,,1.0,9.0,814.0,651.0,2.0,6,833,356,,,,,9,789,655,8,650,364,0
1,3,00:00:13,320,340,0,1,B,2,擋小球,,1.0,2.0,6.0,833.0,356.0,2.0,1,882,505,,,,,8,645,360,8,778,626,0
1,4,00:00:14,340,359,0,1,A,2,放小球,,,2.0,1.0,882.0,505.0,2.0,2,852,417,,,,,8,816,522,8,709,362,0
1,5,00:00:14,359,391,0,1,B,2,挑球,,1.0,2.0,2.0,852.0,417.0,1.0,4,373,633,,,,,7,765,419,8,769,548,0
1,6,00:00:16,391,411,0,1,A,2,切球,1.0,,1.0,4.0,373.0,633.0,2.0,5,436,384,,,,,9,540,640,8,615,372,0
1,7,00:00:17,411,433,0,1,B,2,放小球,,,2.0,5.0,436.0,384.0,2.0,2,464,478,,,,,5,458,372,8,532,608,0
1,8,00:00:18,433,454,0,1,A,2,放小球,,1.0,2.0,2.0,464.0,478.0,2.0,1,403,437,,,,,7,476,512,8,547,376,0
1,9,00:00:18,454,500,0,1,B,2,挑球,,,2.0,1.0,403.0,437.0,1.0,9,464,645,,,,,1,464,429,7,509,517,0
1,10,00:00:20,500,528,0,1,A,2,長球,,,1.0,9.0,464.0,645.0,1.0,3,473,321,,,,,9,473,647,8,591,371,0
1,11,00:00:22,528,543,0,1,B,2,過度切球,,,1.0,3.0,473.0,321.0,2.0,7,682,510,,,,,8,499,338,8,630,597,0
1,12,00:00:22,543,562,0,1,A,2,放小球,,,2.0,7.0,682.0,510.0,2.0,1,457,406,,,,,8,670,565,8,538,357,0
1,13,00:00:23,562,588,0,1,B,2,挑球,,,2.0,1.0,457.0,406.0,1.0,6,430,609,,,,,7,507,402,8,652,576,0
1,14,00:00:24,588,614,0,1,A,3,切球,1.0,,1.0,6.0,430.0,609.0,2.0,7,682,468,掛網,對手掛網,B,,8,490,613,8,582,375,0
2,1,00:00:40,970,1024,1,1,B,1,發長球,,,2.0,,,,1.0,9,454,647,,,,,8,647,389,8,485,588,0
2,2,00:00:42,1024,1033,1,1,A,2,殺球,,,1.0,9.0,454.0,647.0,2.0,8,621,362,,,,,4,388,649,8,593,357,0
2,3,00:00:43,1033,1049,1,1,B,2,擋小球,,1.0,2.0,8.0,621.0,362.0,2.0,7,622,505,,,,,8,545,366,8,474,627,0
2,4,00:00:43,1049,1070,1,1,A,2,放小球,,,2.0,7.0,622.0,505.0,2.0,1,403,410,,,,,8,566,551,8,560,366,0
2,5,00:00:44,1070,1099,1,1,B,2,挑球,,,2.0,1.0,403.0,410.0,1.0,8,812,616,,,,,1,457,407,8,611,581,0
2,6,00:00:45,1099,1114,1,1,A,3,殺球,,,1.0,8.0,812.0,616.0,2.0,5,424,358,對手落地致勝,落地致勝,A,,8,738,626,8,623,375,0
3,1,00:01:06,1593,1610,1,2,A,1,發短球,,1.0,2.0,,,,2.0,7,720,409,,,,,8,624,554,8,708,373,0
3,2,00:01:07,1610,1629,1,2,B,2,放小球,,1.0,2.0,7.0,720.0,409.0,2.0,2,402,482,,,,,7,677,405,8,657,560,0
3,3,00:01:07,1629,1666,1,2,A,2,挑球,,1.0,2.0,2.0,402.0,482.0,1.0,4,816,318,,,,,7,487,513,8,605,392,0
3,4,00:01:09,1666,1677,1,2,B,2,殺球,1.0,,1.0,4.0,816.0,318.0,2.0,5,919,570,,,,,8,760,329,8,695,577,0
3,5,00:01:09,1677,1698,1,2,A,2,擋小球,,,2.0,5.0,919.0,570.0,2.0,8,791,389,,,,,8,785,579,6,800,347,0
3,6,00:01:10,1698,1727,1,2,B,2,推球,,1.0,2.0,8.0,791.0,389.0,1.0,9,450,635,,,,,7,721,407,8,735,573,0
3,7,00:01:11,1727,1743,1,2,A,2,切球,1.0,,1.0,9.0,450.0,635.0,2.0,8,743,387,,,,,9,542,644,8,575,378,0
3,8,00:01:12,1743,1767,1,2,B,2,放小球,,1.0,2.0,8.0,743.0,387.0,2.0,7,624,476,,,,,8,698,396,9,537,662,0
3,9,00:01:13,1767,1799,1,2,A,2,挑球,,,2.0,7.0,624.0,476.0,1.0,4,813,327,,,,,8,603,520,8,638,378,0
3,10,00:01:14,1799,1814,1,2,B,2,殺球,1.0,,1.0,4.0,813.0,327.0,2.0,5,940,582,,,,,8,707,333,8,698,571,0
3,11,00:01:15,1814,1836,1,2,A,2,放小球,,,2.0,5.0,940.0,582.0,2.0,2,828,418,,,,,8,832,585,8,758,339,0
3,12,00:01:16,1836,1856,1,2,B,2,放小球,,1.0,2.0,2.0,828.0,418.0,2.0,1,855,481,,,,,7,790,410,8,740,581,0
3,13,00:01:17,1856,1890,1,2,A,2,挑球,,,2.0,1.0,855.0,481.0,1.0,9,545,320,,,,,8,790,521,7,741,399,0
3,14,00:01:18,1890,1912,1,2,B,2,切球,,,1.0,9.0,545.0,320.0,2.0,5,939,520,,,,,8,563,338,8,655,574,0
3,15,00:01:19,1912,1934,1,2,A,2,放小球,,,2.0,5.0,939.0,520.0,2.0,7,761,441,,,,,5,854,545,8,564,357,0
3,16,00:01:20,1934,1957,1,2,B,2,推球,,1.0,2.0,7.0,761.0,441.0,1.0,8,458,628,,,,,7,732,419,8,812,553,0
3,17,00:01:21,1957,1972,1,2,A,2,過度切球,1.0,,1.0,8.0,458.0,628.0,1.0,8,511,362,,,,,8,692,599,8,636,379,0
3,18,00:01:22,1972,1991,1,2,B,3,撲球,,,1.0,8.0,511.0,362.0,2.0,8,600,577,對手落地致勝,落地致勝,B,,8,539,386,8,635,615,0
4,1,00:01:40,2423,2474,2,2,B,1,發長球,,,2.0,,,,1.0,9,837,650,,,,,8,591,395,8,787,593,0
4,2,00:01:43,2474,2491,2,2,A,2,切球,,,1.0,9.0,837.0,650.0,2.0,8,539,380,,,,,9,766,666,8,645,369,0
4,3,00:01:43,2491,2515,2,2,B,2,放小球,,,2.0,8.0,539.0,380.0,2.0,2,406,488,,,,,8,580,384,8,704,605,0
4,4,00:01:44,2515,2552,2,2,A,2,挑球,,1.0,2.0,2.0,406.0,488.0,1.0,9,502,322,,,,,6,445,535,8,570,387,0
4,5,00:01:46,2552,2585,2,2,B,3,長球,,,1.0,9.0,502.0,322.0,2.0,13,315,679,出界,對手出界,A,,9,530,328,8,633,578,0
5,1,00:02:07,3055,3074,2,3,A,1,發短球,,1.0,2.0,,,,2.0,7,491,413,,,,,8,668,547,8,527,367,0
5,2,00:02:08,3074,3093,2,3,B,2,推球,,,2.0,7.0,491.0,413.0,1.0,6,424,596,,,,,7,538,404,8,642,558,0
5,3,00:02:08,3093,3102,2,3,A,2,點扣,1.0,,1.0,6.0,424.0,596.0,2.0,5,458,364,,,,,8,598,603,8,559,385,0
5,4,00:02:09,3102,3125,2,3,B,2,擋小球,,,2.0,5.0,458.0,364.0,2.0,2,447,489,,,,,8,522,379,8,593,607,0
5,5,00:02:10,3125,3145,2,3,A,2,勾球,,1.0,2.0,2.0,447.0,489.0,2.0,2,800,416,,,,,8,490,532,8,551,369,0
5,6,00:02:11,3145,3167,2,3,B,2,放小球,,1.0,2.0,2.0,800.0,416.0,2.0,1,828,464,,,,,7,724,412,8,627,549,0
5,7,00:02:11,3167,3199,2,3,A,2,挑球,,,2.0,1.0,828.0,464.0,1.0,9,752,323,,,,,7,796,506,8,702,396,0
5,8,00:02:13,3199,3217,2,3,B,2,切球,1.0,,1.0,9.0,752.0,323.0,2.0,7,788,502,,,,,9,755,323,8,704,561,0
5,9,00:02:14,3217,3240,2,3,A,2,勾球,,,2.0,7.0,788.0,502.0,2.0,7,516,421,,,,,8,772,559,8,720,334,0
5,10,00:02:15,3240,3269,2,3,B,2,挑球,,,2.0,7.0,516.0,421.0,1.0,6,429,616,,,,,7,544,405,8,678,570,0
5,11,00:02:16,3269,3292,2,3,A,2,切球,1.0,,1.0,6.0,429.0,616.0,2.0,1,433,405,,,,,8,508,624,8,584,374,0
5,12,00:02:17,3292,3316,2,3,B,2,放小球,,,2.0,1.0,433.0,405.0,2.0,2,358,475,,,,,5,463,396,8,543,621,0
5,13,00:02:18,3316,3362,2,3,A,2,挑球,,1.0,2.0,2.0,358.0,475.0,1.0,9,509,322,,,,,2,406,511,8,552,385,0
5,14,00:02:20,3362,3371,2,3,B,2,殺球,,,1.0,9.0,509.0,322.0,2.0,8,449,582,,,,,9,535,325,8,614,577,0
5,15,00:02:20,3371,3394,2,3,A,2,防守回挑,,1.0,2.0,8.0,449.0,582.0,1.0,5,487,335,,,,,8,686,593,8,511,348,0
5,16,00:02:21,3394,3409,2,3,B,3,殺球,,,1.0,5.0,487.0,335.0,2.0,4,360,629,對手落地致勝,落地致勝,B,,8,503,349,8,674,598,0
6,1,00:02:45,3975,4027,2,4,B,1,發長球,,,2.0,,,,1.0,9,478,653,,,,,8,649,389,8,489,584,0
6,2,00:02:47,4027,4048,2,4,A,2,切球,,,1.0,9.0,478.0,653.0,2.0,1,426,400,,,,,4,419,661,8,599,367,0
6,3,00:02:48,4048,4075,2,4,B,2,挑球,,,2.0,1.0,426.0,400.0,1.0,9,835,641,,,,,8,479,393,8,554,599,0
6,4,00:02:49,4075,4092,2,4,A,2,長球,,,1.0,9.0,835.0,641.0,1.0,6,818,344,,,,,9,716,645,8,606,376,0
6,5,00:02:50,4092,4102,2,4,B,2,殺球,1.0,,1.0,6.0,818.0,344.0,2.0,5,902,562,,,,,8,724,361,9,747,630,0
6,6,00:02:50,4102,4115,2,4,A,3,擋小球,,,2.0,5.0,902.0,562.0,2.0,7,794,459,掛網,對手掛網,B,,8,798,581,8,724,353,0
7,1,00:03:14,4663,4716,3,4,B,1,發長球,,,2.0,,,,1.0,9,784,648,,,,,8,586,396,8,783,599,0
7,2,00:03:16,4716,4726,3,4,A,2,殺球,,,1.0,9.0,784.0,648.0,2.0,6,806,358,,,,,9,753,658,8,627,372,0
7,3,00:03:16,4726,4746,3,4,B,2,擋小球,,1.0,2.0,6.0,806.0,358.0,2.0,1,822,480,,,,,8,609,370,8,752,623,0
7,4,00:03:17,4746,4767,3,4,A,2,放小球,,,2.0,1.0,822.0,480.0,2.0,2,856,438,,,,,8,781,523,8,696,377,0
7,5,00:03:18,4767,4799,3,4,B,2,推球,,1.0,2.0,2.0,856.0,438.0,1.0,9,802,656,,,,,7,793,425,8,751,535,0
7,6,00:03:19,4799,4823,3,4,A,2,長球,,,1.0,9.0,802.0,656.0,1.0,9,499,321,,,,,9,738,658,8,688,376,0
7,7,00:03:20,4823,4841,3,4,B,3,點扣,,,1.0,9.0,499.0,321.0,2.0,15,1002,585,出界,對手出界,A,,9,566,327,8,615,623,0
8,1,00:03:39,5260,5280,3,5,A,1,發短球,,1.0,2.0,,,,2.0,7,768,405,,,,,8,625,555,8,702,371,0
8,2,00:03:40,5280,5302,3,5,B,2,放小球,,1.0,2.0,7.0,768.0,405.0,2.0,1,879,475,,,,,7,690,413,8,642,549,0
8,3,00:03:40,5302,5344,3,5,A,2,挑球,,,2.0,1.0,879.0,475.0,1.0,9,677,321,,,,,7,810,517,8,696,392,0
8,4,00:03:42,5344,5365,3,5,B,2,長球,,,1.0,9.0,677.0,321.0,1.0,6,433,608,,,,,8,673,336,8,698,571,0
8,5,00:03:43,5365,5411,3,5,A,2,長球,1.0,,1.0,6.0,433.0,608.0,1.0,3,477,317,,,,,8,588,584,8,604,367,0
8,6,00:03:45,5411,5425,3,5,B,2,殺球,,,1.0,3.0,477.0,317.0,2.0,6,421,556,,,,,8,495,334,8,645,577,0
8,7,00:03:46,5425,5447,3,5,A,2,擋小球,,1.0,2.0,6.0,421.0,556.0,2.0,1,471,430,,,,,8,597,563,8,521,346,0
8,8,00:03:46,5447,5471,3,5,B,2,放小球,,,2.0,1.0,471.0,430.0,2.0,2,389,477,,,,,7,489,413,8,602,569,0
8,9,00:03:47,5471,5508,3,5,A,2,挑球,,1.0,2.0,2.0,389.0,477.0,1.0,4,786,323,,,,,6,434,532,7,564,402,0
8,10,00:03:49,5508,5528,3,5,B,2,切球,1.0,,1.0,4.0,786.0,323.0,2.0,2,407,506,,,,,8,767,334,8,657,580,0
8,11,00:03:50,5528,5552,3,5,A,2,放小球,,1.0,2.0,2.0,407.0,506.0,2.0,1,451,416,,,,,6,451,553,8,731,348,0
8,12,00:03:51,5552,5571,3,5,B,2,推球,,,2.0,1.0,451.0,416.0,1.0,6,390,597,,,,,7,498,415,8,546,570,0
8,13,00:03:52,5571,5599,3,5,A,2,長球,,1.0,1.0,6.0,390.0,597.0,1.0,3,484,327,,,,,8,642,586,8,548,385,0
8,14,00:03:53,5599,5620,3,5,B,3,切球,,,1.0,3.0,484.0,327.0,2.0,1,923,504,對手落地致勝,落地致勝,B,,8,491,345,8,646,603,0
9,1,00:04:15,6133,6187,4,5,B,1,發長球,,,2.0,,,,1.0,9,505,641,,,,,8,646,394,8,491,588,0
9,2,00:04:17,6187,6201,4,5,A,2,殺球,,,1.0,9.0,505.0,641.0,2.0,5,414,358,,,,,9,449,644,8,594,374,0
9,3,00:04:18,6201,6224,4,5,B,2,擋小球,,,2.0,5.0,414.0,358.0,2.0,2,374,489,,,,,5,480,374,8,543,611,0
9,4,00:04:19,6224,6252,4,5,A,2,推球,,1.0,2.0,2.0,374.0,489.0,1.0,4,811,318,,,,,6,426,532,8,553,383,0
9,5,00:04:20,6252,6262,4,5,B,2,殺球,1.0,,1.0,4.0,811.0,318.0,2.0,8,663,563,,,,,8,682,337,8,652,575,0
9,6,00:04:20,6262,6283,4,5,A,2,擋小球,,1.0,2.0,8.0,663.0,563.0,1.0,8,748,396,,,,,8,735,596,8,742,347,0
9,7,00:04:21,6283,6305,4,5,B,2,放小球,,,1.0,8.0,748.0,396.0,2.0,1,878,496,,,,,8,719,395,8,698,591,0
9,8,00:04:22,6305,6334,4,5,A,3,放小球,,,2.0,1.0,878.0,496.0,2.0,2,846,425,對手落地致勝,落地致勝,A,,8,804,543,7,701,399,0
10,1,00:04:51,7001,7047,4,6,A,1,發長球,,,2.0,,,,1.0,3,480,318,,,,,8,693,584,8,509,366,0
10,2,00:04:53,7047,7061,4,6,B,2,切球,,,1.0,3.0,480.0,318.0,2.0,6,394,560,,,,,9,506,324,8,653,580,0
10,3,00:04:54,7061,7083,4,6,A,2,放小球,,1.0,2.0,6.0,394.0,560.0,2.0,1,459,426,,,,,8,535,569,8,542,338,0
10,4,00:04:55,7083,7106,4,6,B,2,放小球,,,2.0,1.0,459.0,426.0,2.0,2,428,474,,,,,7,498,421,8,554,581,0
10,5,00:04:56,7106,7128,4,6,A,2,放小球,,1.0,2.0,2.0,428.0,474.0,2.0,1,402,438,,,,,7,476,515,8,563,387,0
10,6,00:04:57,7128,7167,4,6,B,2,挑球,,,2.0,1.0,402.0,438.0,1.0,6,419,628,,,,,1,444,432,7,518,511,0
10,7,00:04:58,7167,7194,4,6,A,3,切球,1.0,,1.0,6.0,419.0,628.0,2.0,16,333,408,出界,對手出界,B,,9,468,640,8,589,377,0
11,1,00:05:15,7577,7626,5,6,B,1,發長球,,,2.0,,,,1.0,9,743,658,,,,,8,597,392,8,777,579,0
11,2,00:05:17,7626,7646,5,6,A,2,切球,,,1.0,9.0,743.0,658.0,2.0,2,798,399,,,,,9,713,668,8,635,360,0
11,3,00:05:18,7646,7661,5,6,B,2,推球,,1.0,2.0,2.0,798.0,399.0,1.0,8,819,583,,,,,8,737,390,8,715,590,0
11,4,00:05:19,7661,7674,5,6,A,2,平球,,,1.0,8.0,819.0,583.0,2.0,5,478,349,,,,,8,767,602,8,692,390,0
11,5,00:05:19,7674,7687,5,6,B,2,平球,,,2.0,5.0,478.0,349.0,1.0,8,524,549,,,,,8,625,369,8,710,590,0
11,6,00:05:20,7687,7707,5,6,A,3,擋小球,,1.0,1.0,8.0,524.0,549.0,2.0,2,830,410,對手落地致勝,落地致勝,A,,8,620,562,5,462,368,0
12,1,00:05:42,8219,8239,6,6,A,1,發短球,,1.0,2.0,,,,2.0,7,689,412,,,,,8,623,551,8,712,370,0
12,2,00:05:43,8239,8259,6,6,B,2,放小球,,,2.0,7.0,689.0,412.0,2.0,7,714,471,,,,,7,700,402,8,655,560,0
12,3,00:05:44,8259,8301,6,6,A,2,挑球,,,2.0,7.0,714.0,471.0,1.0,9,757,324,,,,,7,719,503,8,674,395,0
12,4,00:05:45,8301,8325,6,6,B,2,長球,1.0,,1.0,9.0,757.0,324.0,1.0,5,884,611,,,,,9,736,321,8,698,574,0
12,5,00:05:46,8325,8334,6,6,A,2,點扣,,,1.0,5.0,884.0,611.0,2.0,6,831,356,,,,,3,862,633,8,659,362,0
